tienda,id,nombre,sku,categorias,precio,moneda,presentacion_valor,presentacion_unidad,presentacion_base,precio_por_base,supuesto,en_stock,url,consultado
agrorepuestoskarina.com,7135,EMBOLO DE PLASTICO JACTO ORIG. (PAR),ART09223,Repuestos,10.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/embolo-de-plastico-jacto-orig-par/,2026-09-10
agrorepuestoskarina.com,7134,REGISTRO DE JACTO NACIONAL JETAGRO,ART07890,Repuestos,25.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/registro-de-jacto-nacional-jetagro/,2026-09-10
agrorepuestoskarina.com,7133,BOQUILLA JACTO REGULABLE 3-2-1,ART09168,Repuestos,10.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/boquilla-jacto-regulable-3-2-1/,2026-09-10
agrorepuestoskarina.com,7132,CILINDRO NACIONAL JETAGRO,ART09136,Repuestos,35.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/cilindro-nacional-jetagro/,2026-09-10
agrorepuestoskarina.com,7131,CILINDRO ORIGINAL COMPLETO P/JACTO,ART07660,Repuestos,55.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/cilindro-original-completo-p-jacto/,2026-09-10
agrorepuestoskarina.com,7130,VALVULA DE CAMARA P/JACTO / ORIGINAL,ART00768,Repuestos,25.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/valvula-de-camara-p-jacto-original/,2026-09-10
agrorepuestoskarina.com,7129,CAMARA NACIONAL JACTO,ART09740,Repuestos,85.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/camara-nacional-jacto/,2026-09-10
agrorepuestoskarina.com,7128,ALBENDACOR PLUS 15.5 %,,Antiparasitarios,20.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/albendacor-plus-15-5-co-x-250-ml/,2026-09-10
agrorepuestoskarina.com,7127,IVERDROG,ART10134,Antiparasitarios,12.0,PEN,,,,,,False,https://agrorepuestoskarina.com/product/iverdrog-x-30-ml-gotas/,2026-09-10
agrorepuestoskarina.com,7126,FASTRIVER,ART10022,Antiparasitarios,98.0,PEN,,,,,,False,https://agrorepuestoskarina.com/product/fastriver-x-litro-antiparasitario-uso-oral/,2026-09-10
agrorepuestoskarina.com,7120,RUGBY 10G,ART09353,Nematicida,45.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/rugby-10g-x-kg/,2026-09-10
agrorepuestoskarina.com,7117,ONCOL 40 CE,,Insecticidas,38.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/oncol-40-ce-x-1-lt-benfuracarb/,2026-09-10
agrorepuestoskarina.com,7116,VYDATEL,ART00379,Acaricida | Insecticidas | Nematicida,95.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/vydatel/,2026-09-10
agrorepuestoskarina.com,7115,ACARSTIN L600,,Acaricida,78.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/acaristin-l600/,2026-09-10
agrorepuestoskarina.com,7114,ABAFIN 1.8 %,,Insecticidas,24.0,PEN,,,,,,True,https://agrorepuestoskarina.com/product/abafin-1-8-x-litro/,2026-09-10
