ruc,razon_social,nombre_limpio,fob_usd,peso_kg,operaciones,partidas,semanas_activo,paises,toneladas,fob_anualizado,rubro,uso_dual
20614239566,ZHONGXUN AGRICULTURAL SCIENCE PERU S.A.C,ZHONGXUN AGRICULTURAL SCIENCE PERU,38677.2,22044.0,1,1,1,1,22.044,201121.44,Agroquimicos,False
20519320305,BLENDING S.A.C.,BLENDING,38298.46,40000.0,1,1,1,1,40.0,199151.992,Fertilizantes,True
20100123763,CETCO S.A.,CETCO,38008.601,762.0,2,1,2,1,0.762,197644.72520000002,Agroquimicos,False
20552892390,IMCD PERÚ S.R.L.,IMCD PERÚ,37830.0,27040.0,4,1,2,1,27.04,196716.0,Agroquimicos,False
20402641241,DISTRIBUIDORA AGROPECUARIA Y SERVICIOS E,DISTRIBUIDORA AGROPECUARIA Y SERVICIOS E,37200.0,24000.0,1,1,1,1,24.0,193440.0,Semillas,False
20392064550,CORPORACION ROOTS S.A.,CORPORACION ROOTS,37086.333,1.474,32,1,1,3,0.001474,192848.9316,Semillas,False
20606768215,IMPORTACIONES D¿LUCAS S.A.C.,IMPORTACIONES D¿LUCAS,36911.88,44275.0,3,1,2,1,44.275,191941.77599999998,Agroquimicos,False
20614371588,FERTIAMERICA PERU S.A.C.,FERTIAMERICA PERU,36270.0,200000.0,1,1,1,1,200.0,188604.0,Fertilizantes,True
20610883843,ULEXAGRO NUTRITION S.A.C.,ULEXAGRO NUTRITION,36235.09,37784.24,1,1,1,1,37.78424,188422.46799999996,Fertilizantes,False
20250406941,AGROVET MARKET S.A,AGROVET MARKET,35565.0,5632.433,4,1,2,1,5.632433,184938.0,Agroquimicos,False
20100051240,FCA PERUANA ETERNIT S A,FCA PERUANA ETERNIT S A,33880.0,44000.0,2,1,2,1,44.0,176176.0,Fertilizantes,False
20126500603,IMPORTACIONES CARMELITA DEL NORTE SOCIED,IMPORTACIONES CARMELITA DEL NORTE SOCIED,33835.1,26320.0,1,1,1,1,26.32,175942.52,Agroquimicos,False
20614857448,AGROALKIMIA SOCIEDAD ANONIMA CERRADA,AGROALKIMIA,33724.0,9178.2,10,2,1,1,9.1782,175364.80000000002,Fertilizantes,False
20607214655,OAS ORGANIC AGRICULTURE SUPPLIER S.A.C.,OAS ORGANIC AGRICULTURE SUPPLIER,33296.894,6695.434,2,1,1,1,6.6954340000000006,173143.8488,Otro,False
20372399687,MERCK SHARP & DOHME SALUD ANIMAL PERU S.,MERCK SHARP & DOHME SALUD ANIMAL PERU S,33045.077,874.0,1,1,1,1,0.874,171834.40039999998,Agroquimicos,False
20552349815,INVERSIONES AGRICOLAS OLMOS S.A.C.,INVERSIONES AGRICOLAS OLMOS,33014.39,5684.0,2,1,1,1,5.684,171674.82799999998,Agroquimicos,False
20543083454,ARATO PERU S.A.,ARATO PERU,32567.981,2075.0,2,1,2,1,2.075,169353.5012,Agroquimicos,False
20607046566,CCV BUSINESS E.I.R.L.,CCV BUSINESS,31900.36,4911.11,11,3,1,1,4.91111,165881.872,Otro,False
20603802081,AGROVET FLORES S.A.C,AGROVET FLORES,29976.84,14044.8,3,1,1,1,14.044799999999999,155879.568,Agroquimicos,False
20600529481,HFE BERRIES PERU S.A.C.,HFE BERRIES PERU,29354.914,3000.0,1,1,1,1,3.0,152645.5528,Fertilizantes,False
20611784423,CT (PR) MANUFACTURING S.A.C.,CT (PR) MANUFACTURING,28840.0,84000.0,2,1,1,1,84.0,149968.0,Fertilizantes,True
20520588486,DIVECENTER S.A.C.,DIVECENTER,28703.481,1328.434,10,2,4,4,1.328434,149258.1012,Otro,False
20613694421,INVERSIONES REMAND S.A.C.,INVERSIONES REMAND,28626.55,1932.5,17,1,1,3,1.9325,148858.06,Semillas,False
20216528141,PROSEMEDIC SOCIEDAD ANONIMA CERRADA,PROSEMEDIC,28266.058,3265.21,5,1,2,2,3.26521,146983.50160000002,Agroquimicos,False
