ruc,razon_social,nombre_limpio,fob_usd,peso_kg,operaciones,partidas,semanas_activo,paises,toneladas,fob_anualizado
20602384323,COMERCIALIZADORA VERDE DE ALIMENTOS SOCI,COMERCIALIZADORA VERDE DE ALIMENTOS SOCI,1320677.65,279040.0,29,4,9,13,279.04,6867523.779999999
20452791031,POMICA PERU SOCIEDAD ANONIMA CERRADA,POMICA PERU,1300151.955,389469.6,24,1,3,5,389.46959999999996,6760790.166
20611375043,FRUTAS MITPAL S.A.C.,FRUTAS MITPAL,1299495.23,744160.0,34,2,7,5,744.16,6757375.196
20602360939,JBF CARGO S.A.C.,JBF CARGO,1293822.6400000001,264080.0,4,1,4,1,264.08,6727877.728
20611474106,GRUPO TAVARI S.A.C.,GRUPO TAVARI,1287360.99,438310.5,32,2,9,7,438.3105,6694277.148
20610089136,ARA FOODS INDUSTRY S.A.C.,ARA FOODS INDUSTRY,1286769.34,423549.77,25,1,10,6,423.54977,6691200.568
20604580294,AMARA FOODS S.A.C.,AMARA FOODS,1279174.76,510789.3,61,3,8,5,510.78929999999997,6651708.751999999
20600224540,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,1243786.51,189750.0,10,1,6,2,189.75,6467689.852
20325346435,SOCIEDAD AGRICOLA DON LUIS S.A.,SOCIEDAD AGRICOLA DON LUIS,1232212.47,519358.8,43,1,5,5,519.3588,6407504.8440000005
20601116431,ELISUR ORGANIC S.A.C.,ELISUR ORGANIC,1232139.67,634508.0,41,1,10,7,634.508,6407126.283999999
20566127181,QORI FOODS S.A.C.,QORI FOODS,1229946.599,359994.746,85,5,10,9,359.99474599999996,6395722.3148
20600546806,WAMBRA CORP S.A.C.,WAMBRA CORP,1227303.2,925942.0,42,1,10,7,925.942,6381976.64
20614056208,GREEN LAND PERU EXPORTS S.A.C.,GREEN LAND PERU EXPORTS,1216295.49,129900.0,21,1,9,4,129.9,6324736.548
20607057088,AGRONEGOCIOS SAN MIGUEL ARCANGEL SOCIEDA,AGRONEGOCIOS SAN MIGUEL ARCANGEL SOCIEDA,1199808.0,1348633.6,76,1,10,2,1348.6336000000001,6239001.600000001
20613418181,,,1197890.5,784755.57,66,2,10,6,784.7555699999999,6229030.600000001
20609310252,PURA BERRIES S.A.C.,PURA BERRIES,1178066.552,150678.91999999998,39,1,6,4,150.67891999999998,6125946.0704
20610818499,,,1170525.6,189618.0,15,3,5,3,189.618,6086733.120000001
20614146525,WE FRUIT S.A.C.,WE FRUIT,1160295.04,829388.0,63,1,9,4,829.388,6033534.208
20480385579,COOPERATIVA DE SERVICIOS MULTIPLES SOL&C,COOPERATIVA DE SERVICIOS MULTIPLES SOL&C,1149414.42,192510.0,10,1,4,4,192.51,5976954.984
20603734255,COOPERATIVA AGROINDUSTRIAL  MISHAGRO,COOPERATIVA AGROINDUSTRIAL MISHAGRO,1136760.08,208725.0,10,1,5,3,208.725,5911152.416
20608569236,NATURAL SOURCE PERU S.A.C.,NATURAL SOURCE PERU,1136614.65,574286.256,21,4,9,4,574.2862560000001,5910396.18
20612693804,ALLPA FARMS PERU S.A.C.,ALLPA FARMS PERU,1130482.9,157195.5,44,1,10,7,157.1955,5878511.08
20615023770,,,1129435.0,299150.0,9,1,6,1,299.15,5873062.0
20604409811,COOPERATIVA AGRARIA DE USUARIOS RIO Y VA,COOPERATIVA AGRARIA DE USUARIOS RIO Y VA,1120176.0,1384444.8,74,1,8,4,1384.4448,5824915.2
20565586247,GIDDINGS BERRIES PERU S.A.C.,GIDDINGS BERRIES PERU,1118491.27,610683.76,30,2,9,2,610.68376,5816154.604
20519791413,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,1092437.3,361458.8,137,10,7,8,361.4588,5680673.960000001
20606590734,GAIA FRUITS S.A.C.,GAIA FRUITS,1087866.31,718806.0,38,1,7,4,718.806,5656904.812000001
20608014765,QAARAY TRADE GROUP S.A.C.,QAARAY TRADE GROUP,1084093.122,387897.771,64,1,10,2,387.89777100000003,5637284.2344
20324737171,CAMPOS DEL SUR S.A.,CAMPOS DEL SUR,1083904.883,430254.5,28,1,6,2,430.2545,5636305.3916
20602655599,ORGANIC AROMA COCOA PERU S.A.C. - AROMAC,ORGANIC AROMA COCOA PERU S.A.C. - AROMAC,1080664.03,300576.0,3,1,3,2,300.576,5619452.956
20610491104,,,1077714.46,1113641.6,59,1,10,2,1113.6416000000002,5604115.192
20610666010,HEALTHY FOOD AND J & M E.I.R.L.,HEALTHY FOOD AND J & M,1058400.0,504000.0,21,1,4,1,504.0,5503680.0
20525545866,COOPERATIVA AGRARIA APBOSMAM,COOPERATIVA AGRARIA APBOSMAM,1055453.25,1318384.8,64,1,10,3,1318.3848,5488356.899999999
