dep,nombre,tipo,clase,lat,lon,sectores_1h,hub,horas_reparto,reparto_en_promesa,elegido,clientes_30,sam_30,clientes_45,sam_45,clientes_60,sam_60
AREQUIPA,Jesús Cautivo,hardware,comercio,-16.40367,-71.515411,33,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,386.7642470176977,2004988.4642925407,521.1139273688896,2701458.113084054
AREQUIPA,Aluminio Arequipa,hardware,comercio,-16.406581,-71.539722,33,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,378.90674701372006,1964255.1312928314,521.1139273688896,2701458.113084054
AREQUIPA,Baterias Record,hardware,comercio,-16.437678,-71.530595,36,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,416.7535297034805,2160453.107937979,582.3561932207681,2991706.324487636
AREQUIPA,Corresur,hardware,comercio,-16.443661,-71.529002,35,Juliaca,4.437874042686684,False,False,240.71804502203008,1247883.9684324237,366.3514491109668,1899168.3823110291,566.1664753076254,2907778.7176669464
AREQUIPA,Ferreteria Leo,hardware,comercio,-16.429446,-71.526508,36,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,475.01311029997186,2462471.166564638,582.3561932207681,2991706.324487636
AREQUIPA,Ferreteria Cornejo,hardware,comercio,-16.449203,-71.589844,32,Juliaca,4.437874042686684,False,False,227.42448727430934,1178970.0754366028,358.9979476181685,1861047.7809914765,504.9242094557469,2617530.506263364
AREQUIPA,Vivero Municipal,garden_centre,comercio,-16.44335,-71.592638,31,Juliaca,4.437874042686684,False,False,273.86541285814786,1419720.1467905454,341.97160477087664,1772783.104871225,492.0394531472637,2550735.842684889
AREQUIPA,Revestir,doityourself,comercio,-16.407791,-71.538642,35,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,410.92793570235625,2130253.1893571606,536.611547917754,2754565.774804148
AREQUIPA,San Mateo,hardware,comercio,-16.420624,-71.531323,36,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,446.49773698346746,2314647.2790273535,582.3561932207681,2991706.324487636
AREQUIPA,Yura,hardware,comercio,-16.43234,-71.532102,36,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,475.01311029997186,2462471.166564638,582.3561932207681,2991706.324487636
AREQUIPA,Gema,hardware,comercio,-16.441596,-71.529353,35,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,366.3514491109668,1899168.3823110291,566.1664753076254,2907778.7176669464
AREQUIPA,Yura,hardware,comercio,-16.437185,-71.530418,36,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,416.7535297034805,2160453.107937979,582.3561932207681,2991706.324487636
AREQUIPA,El Nazareno,hardware,comercio,-16.437173,-71.561833,33,Juliaca,4.437874042686684,False,False,262.84633235331523,1362597.1591574892,378.90674701372006,1964255.1312928314,521.1139273688896,2701458.113084054
AREQUIPA,Virgen del Rosario,hardware,comercio,-16.448989,-71.515458,33,Juliaca,4.946747892247475,False,False,229.36752366531442,1189042.7891884702,366.3514491109668,1899168.3823110291,536.2553761518506,2752719.3779682205
AREQUIPA,Carlitos,hardware,comercio,-16.444611,-71.530142,35,Juliaca,4.437874042686684,False,False,240.71804502203008,1247883.9684324237,366.3514491109668,1899168.3823110291,566.1664753076254,2907778.7176669464
AREQUIPA,El volante,hardware,comercio,-16.442374,-71.527226,35,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,366.3514491109668,1899168.3823110291,566.1664753076254,2907778.7176669464
AREQUIPA,Lara,hardware,comercio,-16.447542,-71.53133,35,Juliaca,4.437874042686684,False,False,240.71804502203008,1247883.9684324237,366.3514491109668,1899168.3823110291,566.1664753076254,2907778.7176669464
AREQUIPA,APPAI,hardware,comercio,-16.642932,-71.877336,0,Juliaca,5.395672030251448,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AREQUIPA,APPAI,hardware,comercio,-16.645194,-71.87668,18,Juliaca,5.395672030251448,False,False,238.2501107483606,1235090.180517707,637.0240933482414,3302337.195043768,796.7537183994594,4130376.6482841563
AREQUIPA,Oxivet,veterinary,comercio,-16.404776,-71.567218,34,Juliaca,4.437874042686684,False,False,278.2759664306422,1442584.4862484548,367.23391009947966,1903743.066025461,627.4899696460822,3252912.2334880717
AREQUIPA,Santa Monica,hardware,comercio,-16.437921,-71.530426,36,Juliaca,4.437874042686684,False,False,276.139890101036,1431511.0521533098,416.7535297034805,2160453.107937979,582.3561932207681,2991706.324487636
AREQUIPA,APPAI,hardware,comercio,-16.644028,-71.876701,18,Juliaca,5.395672030251448,False,False,238.2501107483606,1235090.180517707,637.0240933482414,3302337.195043768,796.7537183994594,4130376.6482841563
AREQUIPA,Fraddy,hardware,comercio,-16.443639,-71.517332,35,Juliaca,4.437874042686684,False,False,240.71804502203008,1247883.9684324237,366.3514491109668,1899168.3823110291,566.1664753076254,2907778.7176669464
AREQUIPA,De 4 Patas,veterinary,comercio,-16.443138,-71.520338,35,Juliaca,4.437874042686684,False,False,240.71804502203008,1247883.9684324237,366.3514491109668,1899168.3823110291,566.1664753076254,2907778.7176669464
AREQUIPA,Gavilán,hardware,comercio,-16.447582,-71.531245,35,Juliaca,4.437874042686684,False,False,240.71804502203008,1247883.9684324237,366.3514491109668,1899168.3823110291,566.1664753076254,2907778.7176669464
