nombre,dep,clase,hub,horas_reparto,reparto_en_promesa,clientes_exclusivos,sam_exclusivo,margen_base,lat,lon
Ferreteria Vidreria San Antonio,PUNO,comercio,Juliaca,1.276819388563737,True,512.2288522496349,859985.0987346751,2708.953061014226,-14.916517,-69.867645
AGROSERVICIOS NAZARETH  E.I.R.L.,AREQUIPA,canal,Juliaca,6.501308314101161,False,165.23778827109982,856593.8085109731,2698.2704968095645,-16.355911164285665,-72.25542138499996
AGROVETERINARIA Y REPRESENTACIONES SANTIAGO ALTAMIRANO EIRL,CAJAMARCA,canal,Chiclayo,5.218481705216816,True,466.2495312086209,854210.1351662348,2690.761925773639,-6.563931802499951,-78.64512447433329
Cobos,SAN MARTIN,comercio,Bellavista,3.182278874170449,True,181.67678601550304,834187.1250909334,2627.6894440364395,-6.03496,-76.976408
AGRO COMERCIALIZADORA PLATO FINO S.A.C.,SAN MARTIN,canal,Bellavista,0.695199869829053,True,181.37744223461252,832812.6581957871,2623.3598733167287,-6.923172370999964,-76.41933325799995
Maderera Selva,LA LIBERTAD,comercio,Huamachuco,3.834136827785757,True,216.07173625178507,828710.3053456201,2610.437461838703,-8.541919,-78.67509
SOFY SEMILLERO DEL EXITO E.I.R.L.,SAN MARTIN,canal,Bellavista,0.8053045711319299,True,179.18640277589984,822752.2814844312,2591.6696866759576,-7.263113707999963,-76.74737653624997
Aceros Arequipa,ICA,comercio,Pisco,0.7618700061726205,True,111.64673004331294,821312.1421574398,2587.133247795935,-13.41239,-76.12125
Fernández,HUANUCO,comercio,Tarma,3.8969716942257207,True,276.76237388878616,817499.7337637683,2575.124161355869,-10.138305,-76.196919
Ferretería Profer San Jerónimo,JUNIN,comercio,Tarma,1.715449670031545,True,274.01669864559585,801177.5761818397,2523.7093649727944,-11.947962,-75.285811
Maderera Huánuco,HUANUCO,comercio,Tarma,5.015590688861649,True,262.98666814212595,782679.4418998328,2465.440241984473,-9.91857,-76.234386
Sodimac,LIMA,comercio,Pisco,1.3603158680328946,True,160.0128595020397,781459.5771505877,2461.5976680243507,-13.075478,-76.372607
AGROSERVICIOS UCAYALI S.A.C.,SAN MARTIN,canal,Bellavista,1.847099072417524,True,169.4417603927162,778008.7818169859,2450.727662723505,-6.614844020199951,-76.34926345519995
AGROVETERINARIA COMERCIALIZADORA REAL SRL,LA LIBERTAD,canal,Chiclayo,1.4878224871801011,True,199.10020719893376,763618.5850329674,2405.3985428538467,-7.3999051459999805,-79.54781665499996
El Vivero,AREQUIPA,comercio,Juliaca,6.024416933241459,False,145.56878255309047,754629.5502508029,2377.0830832900288,-16.347603,-72.18961
AGROSERVICIOS TORRES SRL,AMAZONAS,canal,Chiclayo,5.06929364361305,True,218.39950826122163,751877.8714786771,2368.4152951578326,-5.58864530733329,-78.52011989433329
AGROSERVICIOS LA PRADERA S.R.L.,LA LIBERTAD,canal,Chiclayo,1.1251901204746066,True,178.61950871917003,737847.738107964,2324.220375040086,-7.118824663166625,-79.46094220733329
Ferretería Inversiones San Miguel,LAMBAYEQUE,comercio,Chiclayo,0.2764130371427082,True,165.47922332774027,736734.8559984127,2320.714796395,-6.764031,-79.831573
AGRO DISTRIBUIDORA ELMI E.I.R.L.,UCAYALI,canal,,,False,191.1914852447256,727385.3431658434,2291.263830972406,-8.779942925799947,-73.97564209199996
Shalon,AREQUIPA,comercio,Juliaca,6.024416933241459,False,139.4690256584238,723008.369381321,2277.476363551161,-16.348024,-72.188796
Vivero Municipal,PIURA,comercio,Chiclayo,3.686483937473158,True,180.80427635990864,706889.3580934291,2226.701477994301,-5.317837,-79.786147
AGROSEMILLERA CARLITOS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,AREQUIPA,canal,Juliaca,7.341491787111587,False,135.9794441399763,704918.3552612322,2220.492819072881,-16.271268264999964,-72.49312633266663
Ferretería Nicoll,PASCO,comercio,Tarma,3.1900796766524,True,268.476403508917,693000.7730683197,2182.9524351652067,-10.572139,-75.406513
