cod_se,dep,prov,dist,region_nat,lat,lon,horas_capital_real,horas_puerto_real,clientes,sam_usd,con_comercio,con_sitio,sin_nada,cubierto_greedy
1030101,AMAZONAS,BONGARA,JUMBILLA,SELVA ALTA,-5.88973882199997,-77.84537896899997,1.252178495649416,8.052011997520438,9.820792873170658,34353.65406245823,False,True,False,False
1030102,AMAZONAS,BONGARA,JUMBILLA,SELVA ALTA,-5.908665443999951,-77.80093414399994,1.1527295951224308,7.952563096993452,7.813225684210701,27331.0776160001,False,True,False,False
1030103,AMAZONAS,BONGARA,JUMBILLA,SELVA ALTA,-5.980345874999955,-77.79285837099997,1.5642704997720749,8.364104001643096,19.79964858193136,69260.2203025906,False,True,False,False
1030201,AMAZONAS,BONGARA,CHISQUILLA,SIERRA,-5.863097111999934,-77.73783967299994,1.4776441118372237,8.277477613708246,6.471436149671698,22637.426697029256,False,True,False,False
1030202,AMAZONAS,BONGARA,CHISQUILLA,SIERRA,-5.919015085999945,-77.71663345799999,1.7504021919519466,8.550235693822966,4.107276506845974,14367.470944277644,False,True,False,False
1030301,AMAZONAS,BONGARA,CHURUJA,SELVA ALTA,-6.007796053999925,-77.93036500999995,1.3914390575583295,6.644012440245799,10.717003724461131,37488.64712766825,True,True,False,False
1030401,AMAZONAS,BONGARA,COROSHA,SIERRA,-5.799130128999934,-77.83102270599994,0.6265589160272664,7.426392417898288,4.050017802123338,14167.176959921286,False,True,False,False
1030402,AMAZONAS,BONGARA,COROSHA,SIERRA,-5.819960153999944,-77.79137936999996,0.7853613619635706,7.585194863834593,3.001397482833462,10499.047496549509,False,True,False,False
1030403,AMAZONAS,BONGARA,COROSHA,SIERRA,-5.842513526999937,-77.82428476099994,0.7772196416800479,7.57705314355107,5.617865349242954,19651.590790047383,False,True,False,False
1030501,AMAZONAS,BONGARA,CUISPES,SELVA ALTA,-5.8894693179999535,-77.91826749699999,1.3647519049028305,6.737873184504265,3.515096875234921,12295.995201949712,True,True,False,False
1030502,AMAZONAS,BONGARA,CUISPES,SELVA ALTA,-5.920308836999936,-77.91765416899995,1.32749401962849,6.700615299229924,8.633528728307857,30200.54114783783,True,True,False,False
1030503,AMAZONAS,BONGARA,CUISPES,SELVA ALTA,-5.944025791999934,-77.90744021599994,1.65139444328184,6.942956840010294,5.073688686769976,17748.031978362123,True,True,False,False
1030601,AMAZONAS,BONGARA,FLORIDA,SIERRA,-5.785494098999948,-77.94452750499994,0.4471518593294727,6.899602096699275,8.62558587943406,30172.756641433443,False,True,False,False
1030602,AMAZONAS,BONGARA,FLORIDA,SIERRA,-5.814050475999977,-77.96605407299995,0.4828702516201256,6.81248484865012,6.617306788183404,23147.6899230251,True,True,False,False
1030603,AMAZONAS,BONGARA,FLORIDA,SIERRA,-5.807939455999929,-77.92255966299996,0.4768225771166541,7.027977249345338,25.83426485735712,90369.62792404732,False,True,False,False
1030604,AMAZONAS,BONGARA,FLORIDA,SIERRA,-5.827235941999959,-77.87439139099996,0.6022286665476023,7.402062168418624,13.307763738647212,46551.262991336655,False,True,False,False
1030605,AMAZONAS,BONGARA,FLORIDA,SIERRA,-5.854752674999929,-77.92213914499996,1.0348367189212575,6.780390487127503,12.536335789085864,43852.76713101351,True,True,False,False
1030606,AMAZONAS,BONGARA,FLORIDA,SIERRA,-5.857763863999935,-77.97361815899995,0.687169458589063,6.567752724272659,14.97659592058162,52388.92642715686,True,True,False,False
1030607,AMAZONAS,BONGARA,FLORIDA,SIERRA,-5.820074611999928,-78.03601623699996,0.7982556209153895,6.95918908246794,19.948050492964207,69779.33805404605,True,True,False,False
1030701,AMAZONAS,BONGARA,JAZAN,SELVA ALTA,-5.931841727999938,-78.02358583099993,1.350395300895413,6.447366841605439,7.487803797720009,26192.73460671061,True,True,False,False
1030703,AMAZONAS,BONGARA,JAZAN,SELVA ALTA,-5.960143148999975,-77.99032287899996,1.165785392381612,6.418358775069082,2.407598399311125,8421.906825590098,True,True,False,False
1030704,AMAZONAS,BONGARA,JAZAN,SELVA ALTA,-5.955282083999975,-78.05299111699998,1.2719969583277873,6.368968499037814,13.01854036985961,45539.54431582606,True,True,False,False
1030801,AMAZONAS,BONGARA,RECTA,SIERRA,-5.940128476999973,-77.78297226299998,1.2566182108862376,8.056451712757259,10.238437460023745,35814.59696626442,False,True,False,False
1030802,AMAZONAS,BONGARA,RECTA,SIERRA,-5.937506346999953,-77.76097839199997,1.41180933495945,8.211642836830471,7.54215154327199,26382.845901580484,False,True,False,False
1030902,AMAZONAS,BONGARA,SAN CARLOS,SELVA ALTA,-5.99616982699996,-77.87376437299997,1.9696695625457965,7.2222429452332655,9.690022168127696,33896.211204171035,True,True,False,False
1031001,AMAZONAS,BONGARA,SHIPASBAMBA,SIERRA,-5.882886705999965,-78.09800597299994,1.2336296753421632,6.330601216052189,8.72974922052426,30537.12553017952,True,True,False,False
1031002,AMAZONAS,BONGARA,SHIPASBAMBA,SIERRA,-5.842153857999961,-78.05446333099997,0.9211063247049734,7.082039786257525,0.4390008330708375,1535.6481851528458,True,True,False,False
1031003,AMAZONAS,BONGARA,SHIPASBAMBA,SIERRA,-5.886316835999935,-78.03012021599994,1.2268314641050486,6.323803004815075,29.342418679496145,102641.33595822207,True,True,False,False
1031101,AMAZONAS,BONGARA,VALERA,SELVA ALTA,-6.04123468399996,-77.92983241399997,1.2777854211194586,6.530358803806928,1.6318461137612386,5708.284208749575,True,True,False,False
1031102,AMAZONAS,BONGARA,VALERA,SELVA ALTA,-6.038266631999932,-77.91020246299996,1.5645473532402812,6.81712073592775,2.613412458601265,9141.855315020057,True,True,False,False
1031103,AMAZONAS,BONGARA,VALERA,SELVA ALTA,-6.087802127999964,-77.86063454399994,1.96342251462836,7.215995897315828,6.714772037912303,23488.62853312906,False,True,False,False
1031104,AMAZONAS,BONGARA,VALERA,SELVA ALTA,-6.053698406999956,-77.91870663299994,1.438843806318753,6.691417189006222,1.4364654870397762,5024.83241951248,True,True,False,False
1031201,AMAZONAS,BONGARA,YAMBRASBAMBA,SELVA ALTA,-5.371159998999929,-77.81116146099998,2.557269927353916,9.778156860019465,1.0681895252272071,3736.583583087985,True,True,False,False
1031202,AMAZONAS,BONGARA,YAMBRASBAMBA,SELVA ALTA,-5.55660218099996,-77.93567613199997,1.1060670789601363,8.326954011625688,7.471476133827627,26135.619572899108,False,True,False,False
1031203,AMAZONAS,BONGARA,YAMBRASBAMBA,SELVA ALTA,-5.62165028499993,-77.86384730699996,0.5604038272118839,7.781290759877433,29.039691667239577,101582.38082204008,False,True,False,False
1031204,AMAZONAS,BONGARA,YAMBRASBAMBA,SELVA ALTA,-5.657878441999969,-77.81499386099995,0.4318075342299817,7.652694466895534,24.16316290236685,84524.02470175891,True,True,False,False
1031205,AMAZONAS,BONGARA,YAMBRASBAMBA,SELVA ALTA,-5.741981360999944,-77.83651312699999,0.2632224302289119,7.484109362894463,38.425761212042325,134415.3496375433,False,True,False,False
1031206,AMAZONAS,BONGARA,YAMBRASBAMBA,SELVA ALTA,-5.718945175999977,-78.00485021299994,0.7876708710608499,7.822164996094063,51.92766200004261,181645.7143185614,False,True,False,False
1040101,AMAZONAS,CONDORCANQUI,NIEVA,SELVA BAJA,-4.520456189999948,-77.92769153399996,0.9578171960649254,10.11609107895014,71.49699612476071,250100.2824410412,True,True,False,False
1040102,AMAZONAS,CONDORCANQUI,NIEVA,SELVA BAJA,-4.6162658089999695,-77.76583097499997,1.159577802455794,9.3459689541059,104.83833491596536,366730.0529294672,True,True,False,False
1040103,AMAZONAS,CONDORCANQUI,NIEVA,SELVA BAJA,-5.108674577999977,-77.90281811099999,2.911435956512926,10.026671625979716,83.51980004969117,292156.68788933964,True,True,False,False
1040104,AMAZONAS,CONDORCANQUI,NIEVA,SELVA BAJA,-4.997367719999943,-78.05929892899997,1.4903276477444032,8.605563317211189,133.02175766325317,465317.1596794087,True,True,False,False
1040105,AMAZONAS,CONDORCANQUI,NIEVA,SELVA BAJA,-4.742912774999979,-78.00871995299997,0.7603302894359578,9.276046081399292,111.74146587566896,390877.5709557728,False,True,False,False
1040202,AMAZONAS,CONDORCANQUI,EL CENEPA,SELVA BAJA,-4.483687325999938,-78.14961229199997,1.7097641812131528,10.9124376284137,68.07782106589084,238139.82683747253,False,True,False,False
1040303,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,SELVA BAJA,-4.25368562999995,-77.79138596099995,3.023927254584969,12.011542369329511,77.80537104346863,272167.3123084181,True,True,False,False
1050101,AMAZONAS,LUYA,LAMUD,SIERRA,-6.125880673999973,-77.98621359299995,2.5711642512379087,7.823737633925375,21.648793036440832,75728.6256260828,True,True,False,False
1050102,AMAZONAS,LUYA,LAMUD,SIERRA,-6.117150268999978,-77.92405851399997,2.42730327853504,7.679876661222506,5.476714489672469,19157.83760097951,True,True,False,False
1050201,AMAZONAS,LUYA,CAMPORREDONDO,SELVA ALTA,-6.125190146999955,-78.33903366099997,4.195769784559144,8.327186906652623,19.985273594454423,69909.54643622466,False,True,False,False
1050202,AMAZONAS,LUYA,CAMPORREDONDO,SELVA ALTA,-6.145089044999963,-78.30292633899995,4.40249129989541,8.533908421988889,8.971336961614504,31382.212254879523,False,True,False,False
1050203,AMAZONAS,LUYA,CAMPORREDONDO,SELVA ALTA,-6.196097606999956,-78.30104201699999,4.885538489112201,9.016955611205676,15.615331042356972,54623.255741947534,False,True,False,False
1050204,AMAZONAS,LUYA,CAMPORREDONDO,SELVA ALTA,-6.248896569999943,-78.33352554399994,4.898222203261716,9.029639325355191,6.094339270057886,21318.32182254646,False,True,False,False
1050205,AMAZONAS,LUYA,CAMPORREDONDO,SELVA ALTA,-6.230342030999964,-78.34929874199997,4.835709138257929,8.967126260351405,6.749486104698318,23610.06017891051,False,True,False,False
1050206,AMAZONAS,LUYA,CAMPORREDONDO,SELVA ALTA,-6.206173602999968,-78.36347975399997,4.483764101557592,8.615181223651069,13.400716464826443,46876.41655485874,False,True,False,False
1050207,AMAZONAS,LUYA,CAMPORREDONDO,SELVA ALTA,-6.186361384999941,-78.37912565499994,4.490438412145056,8.621855534238533,7.139762047407764,24975.26611471307,False,True,False,False
1050301,AMAZONAS,LUYA,COCABAMBA,SIERRA,-6.59205450099995,-78.09713346599995,3.533364818457426,10.242487062086084,0.648566710000425,2268.720731566343,False,True,False,False
1050302,AMAZONAS,LUYA,COCABAMBA,SIERRA,-6.579970659999958,-78.04774227899998,3.906727060552929,10.615849304181586,3.75718427449703,13142.82975742137,False,True,False,False
