cod_se,dep,prov,dist,sector,region_nat,lat,lon,ha_agricola,s_ha_cosechada,s_clientes_sam,s_sam_usd,km_capital,km_via_capital,horas_capital,accesible,km_puerto_maritimo,puerto_maritimo,horas_puerto,costo_viaje_usd,costo_pct_venta
13120303,LA LIBERTAD,VIRU,GUADALUPITO,CANAL ALTO,COSTA,-8.920857060999936,-78.60165482599996,64.72246753126429,28.88300606209469,1.4651325273220388,5619.293134544875,44.43380582396898,55.54225727996123,1.0098592232720223,1-2 h,16.957689792909367,Chimbote,0.38540204074794016,36.3549320377928,0.9478913482855066
13120304,LA LIBERTAD,VIRU,GUADALUPITO,GUADALUPITO,COSTA,-8.953878439999926,-78.61962618399997,600.2503389236517,267.8673239633756,13.58795994093245,52114.55522601308,48.31893303498198,60.39866629372747,1.0981575689768632,1-2 h,13.378279402535462,Chimbote,0.30405180460307873,39.533672483167074,1.0307714527919107
13120305,LA LIBERTAD,VIRU,GUADALUPITO,UREÑA,COSTA,-8.964740974999927,-78.63478883399995,113.68183570627696,50.731581707208,2.573433331763653,9870.012428036089,49.778628933036856,62.22328616629607,1.1313324757508376,1-2 h,12.49538004451959,Chimbote,0.28398591010271795,40.72796912703016,1.06191065158968
14010101,LAMBAYEQUE,CHICLAYO,CHICLAYO,TOCNOPE,COSTA,-6.770633432999944,-79.81202142799998,789.782994156033,311.0224669563256,17.78822298903129,79195.46417217636,26.983584795820015,33.72948099477502,0.6132632908140913,<1 h,18.34472147922088,Eten,0.4169254881641109,22.077478469307284,0.49588586183897726
14010102,LAMBAYEQUE,CHICLAYO,CHICLAYO,COFRADIA,COSTA,-6.76096255799996,-79.79522850199999,163.80248484190116,64.50664715001328,3.689311048839196,16425.288864914906,25.557488007796902,31.94686000974613,0.5808520001772023,<1 h,20.008511439328704,Eten,0.4547388963483796,20.910672006379283,0.4696780306651077
14010103,LAMBAYEQUE,CHICLAYO,CHICLAYO,SAMAN,COSTA,-6.804926485999943,-79.81059751799995,1336.3606946360196,526.268865073902,30.098751436607746,134003.52539401807,25.998040107627084,32.49755013453385,0.5908645479006155,<1 h,14.872816540332863,Eten,0.3380185577348378,21.271123724422157,0.4777741957729813
14010104,LAMBAYEQUE,CHICLAYO,CHICLAYO,PULEN,COSTA,-6.777348907999965,-79.84866321299995,182.00805615728268,71.67613768698045,4.0993537625934735,18250.851939214845,30.71001532468646,38.38751915585807,0.697954893742874,<1 h,16.7174543012216,Eten,0.37994214320958186,25.126376174743463,0.5643676528379353
14010201,LAMBAYEQUE,CHICLAYO,CHONGOYAPE,CHAPARRY,COSTA,-6.583678573999976,-79.58009927899997,103.64576686374602,40.81648039787212,2.334405813348293,10393.075917045991,28.380265315682625,35.47533164460328,0.6450060299018778,<1 h,49.439827756329464,Eten,1.1236324490074878,23.220217076467602,0.5215531009603362
14010202,LAMBAYEQUE,CHICLAYO,CHONGOYAPE,PAMPAS DE CHAPARRY,COSTA,-6.551907830999937,-79.48975667499997,268.760970462862,105.84008604067378,6.053283128045334,26949.99761284534,33.35433383522117,41.69291729402646,0.758053041709572,<1 h,58.77787960400655,Eten,1.335860900091058,27.289909501544592,0.6129631294395615
14010203,LAMBAYEQUE,CHICLAYO,CHONGOYAPE,OVERAZAL,COSTA,-6.56353943299996,-79.39189302699998,797.2553221905247,313.9651257833595,17.95652167146464,79944.75162394113,36.88505862798338,46.106323284979226,0.8382967869996223,<1 h,66.07914256872992,Eten,1.501798694743862,30.178684331986403,0.6778483743031851
14010204,LAMBAYEQUE,CHICLAYO,CHONGOYAPE,PAREDONES,COSTA,-6.602096316999962,-79.36139419699998,953.2811839724342,375.4092804428973,21.470680423892848,95590.23986325988,35.606645727549314,44.50830715943664,0.8092419483533935,<1 h,66.37667008855097,Eten,1.5085606838307037,29.132710140722164,0.6543545765845062
14010205,LAMBAYEQUE,CHICLAYO,CHONGOYAPE,JUANA RIOS,COSTA,-6.624444538999967,-79.39558997599994,1351.1696797068294,532.1007544712731,30.43229309378447,135488.4958925977,31.254848523062552,39.06856065382819,0.7103374664332399,<1 h,61.859233280779286,Eten,1.4058916654722566,25.572148791596636,0.5743802246359223
