ubigeo,fob,kg,ops,empresas,familia_lider,pct_lider,mes_pico,dep,prov,dist,lat,lon,ha_agricola,h3,h3_ter,hub,horas_al_hub,cubierto_2h,km_al_nodo,promesa_h,cubierto_promesa,fob_mm,cluster
080701,471428.68,222888.0,12,4,"Palta, mango, dátil y piña",100.0,Feb,CUSCO,CHUMBIVILCAS,SANTO TOMAS,-14.593761528499945,-72.09413606366662,4200.6113105095765,858b6517fffffff,868b6516fffffff,Sicuani,4.544467783464803,False,2.9677021469618903,6.0,True,0.5,
220904,463587.39,175444.9,9,2,Cacao en grano,98.9,Feb,SAN MARTIN,SAN MARTIN,CHAZUTA,-6.578969506199951,-76.01531639359996,13047.229693875332,858f40abfffffff,868f40a97ffffff,Bellavista,2.6649956955947838,False,4.577765525409934,6.0,True,0.5,
040413,460965.22,1737059.0,61,1,Papa,100.0,Set,AREQUIPA,CASTILLA,URACA,-16.271268264999964,-72.49312633266663,3970.975353554587,85b336a7fffffff,86b336a5fffffff,Juliaca,6.888058783146506,False,2.8160597991580385,4.0,False,0.5,
040308,446763.13,253464.0,11,1,"Palta, mango, dátil y piña",95.7,Abr,AREQUIPA,CARAVELI,CHAPARRA,-15.804737110499955,-73.93155662499996,895.1277184297659,858e6b3bfffffff,868e6b397ffffff,Pisco,6.766531357958101,False,1.874395391196168,4.0,False,0.4,
090103,411623.7,201600.0,18,1,"Palta, mango, dátil y piña",100.0,Set,HUANCAVELICA,HUANCAVELICA,ACORIA,-12.617341072399958,-74.84666028966663,19599.38211612534,858e610bfffffff,868e610afffffff,Tarma,4.70644961464815,False,2.7131321328443136,6.0,True,0.4,
080408,400474.1,39093.0,27,1,Café,100.0,Set,CUSCO,CALCA,YANATILE,-12.805863579499942,-72.13479409999997,1094.5914610841987,858b6c5bfffffff,868b6c5b7ffffff,Sicuani,5.392052421806643,False,2.159848343999268,6.0,True,0.4,
220104,386123.41000000003,58305.0,11,1,Café,100.0,Oct,SAN MARTIN,MOYOBAMBA,JEPELACIO,-6.16239966024996,-76.92762647199996,30908.627245275264,858f4623fffffff,868f46227ffffff,Bellavista,4.854159741864819,False,1.274470533935376,6.0,True,0.4,
050618,372155.47,173680.0,8,3,"Palta, mango, dátil y piña",100.0,Abr,AYACUCHO,LUCANAS,SAN PEDRO DE PALCO,-14.345047305499975,-74.55672683499995,1191.1876793506858,858e685bfffffff,868e68597ffffff,Pisco,6.39425572104922,False,5.317979117802686,6.0,False,0.4,
150508,369749.66000000003,264886.35,19,4,Cítricos,70.5,Jul,LIMA,CAÑETE,LUNAHUANA,-13.020165376999955,-76.15144942399996,1379.5134875124174,858e6357fffffff,868e63547ffffff,Pisco,1.8848879591124263,True,1.7185760949004785,4.0,True,0.4,
060804,345072.32,82550.0,3,1,Café,100.0,Ene,CAJAMARCA,JAEN,COLASAY,-5.922540680999958,-78.97368214099995,27401.47524038511,858f5433fffffff,868f5431fffffff,Chiclayo,6.161544346355552,False,2.0063876372966805,6.0,False,0.3,
080906,343428.21,27136.75,44,4,Café,89.4,Feb,CUSCO,LA CONVENCION,QUELLOUNO,-12.539578164999966,-72.4640919333333,2339.368152232293,858b6c47fffffff,868b6c44fffffff,Sicuani,8.523971772316633,False,4.101529025947055,6.0,False,0.3,
021001,336000.0,200000.0,9,1,"Productos vegetales diversos (tara, achiote)",100.0,Nov,ANCASH,HUARI,HUARI,-9.32491856799995,-77.22667084266662,5434.82594666797,858f58abfffffff,868f58aa7ffffff,Tarma,11.203929442727851,False,2.4312686007274444,6.0,False,0.3,
050612,320747.25,232156.0,10,1,"Palta, mango, dátil y piña",100.0,Feb,AYACUCHO,LUCANAS,OCAÑA,-14.381812073333265,-74.78182782399996,3903.0709513182583,858e6a93fffffff,868e6a91fffffff,Pisco,5.463995186959557,False,3.628616569040018,6.0,True,0.3,
010513,300527.77,75900.0,4,1,Café,100.0,Ene,AMAZONAS,LUYA,OCUMAL,-6.3408991054999575,-78.15713301224996,11536.211615623037,858f5517fffffff,868f5515fffffff,Chiclayo,10.22764377511041,False,4.97779723583203,6.0,False,0.3,
060803,272540.88,61910.0,2,1,Café,100.0,Feb,CAJAMARCA,JAEN,CHONTALI,-5.644407466249945,-79.09640963849995,17493.53324023939,858f5417fffffff,868f5415fffffff,Chiclayo,7.582397351242775,False,0.8431249001959872,6.0,False,0.3,
050609,271977.31,113884.0,6,1,"Palta, mango, dátil y piña",100.0,Abr,AYACUCHO,LUCANAS,LEONCIO PRADO,-14.687522735666619,-74.61319614866663,1605.778720451277,858e6abbfffffff,868e6aba7ffffff,Pisco,5.016772961809782,False,6.5495520954716415,6.0,True,0.3,
150509,244534.29,51898.96,17,5,Pisco y licores,55.0,Ene,LIMA,CAÑETE,MALA,-12.651851848333289,-76.61127553233331,3178.0849818711017,858e623bfffffff,868e623afffffff,Pisco,1.9303878605404143,True,0.940778310417266,4.0,True,0.2,
210201,225715.17,103340.0,13,1,Quinua y cereales andinos,88.0,Ago,PUNO,AZANGARO,AZANGARO,-14.887583872199958,-70.16316598859996,23044.880639560484,858b6687fffffff,868b6685fffffff,Juliaca,1.189671247773374,True,0.5402717668943695,6.0,True,0.2,
160112,220725.0,3405.75,40,3,Otros animales vivos,100.0,Ene,LORETO,MAYNAS,BELEN,-3.779706107666622,-73.20262066966664,9287.139310506403,858a6d3bfffffff,868a6d3a7ffffff,,inf,False,5.560228693393364,6.0,False,0.2,
090407,216256.05,87196.0,4,2,"Palta, mango, dátil y piña",100.0,Feb,HUANCAVELICA,CASTROVIRREYNA,HUACHOS,-13.215256573666617,-75.50943809366662,945.2638038811447,858e6333fffffff,868e6332fffffff,Pisco,3.688577834664578,False,0.3312335582864776,6.0,True,0.2,
150716,215364.12,106880.44,32,6,Pimienta y ají,52.0,Oct,LIMA,HUAROCHIRI,SAN ANTONIO,-11.752589004666618,-76.70116950033328,1100.3958440766041,858e6667fffffff,868e6664fffffff,Pisco,7.846639650748404,False,0.8133903611452477,4.0,False,0.2,
160601,208985.23,100726.68,2,2,Cacao en grano,98.1,Ago,LORETO,UCAYALI,CONTAMANA,-7.554990542666606,-75.07722378533329,24202.189629939465,858f4123fffffff,868f41237ffffff,,inf,False,71.84385750664208,6.0,False,0.2,
150129,206593.99,84372.42,91,5,Pisco y licores,46.8,Jun,LIMA,LIMA,SAN BARTOLO,-12.369376227999965,-76.72414038499994,0.0,858e6217fffffff,868e6202fffffff,Pisco,2.7410009181212738,False,3.236427905758919,4.0,True,0.2,
070107,206406.0,4560.62,166,2,Preparaciones alimenticias,98.9,Feb,CALLAO,CALLAO,MI PERU,-11.85433944099998,-77.12055565999998,0.0,858e62d3fffffff,868e62d17ffffff,,,,,,,0.2,
021103,198974.1,94074.0,8,3,"Palta, mango, dátil y piña",52.5,Ene,ANCASH,HUARMEY,CULEBRAS,-9.818645420999957,-78.05269271549994,2234.2325763598337,858f5ab7fffffff,868f5ab5fffffff,Huamachuco,7.587066313644059,False,3.073095156786095,4.0,False,0.2,
220805,173186.66,31395.0,3,1,Café,100.0,Nov,SAN MARTIN,RIOJA,PARDO MIGUEL,-5.756643891249951,-77.56454123524996,15622.982983717928,858f4653fffffff,868f4652fffffff,Bellavista,4.434534025296787,False,3.1411608213530355,6.0,True,0.2,
220301,167160.32,50048.0,1,1,Cacao en grano,100.0,Nov,SAN MARTIN,EL DORADO,SAN JOSE DE SISA,-6.60860632316663,-76.7158019123333,21053.22401645774,858f4043fffffff,868f40407ffffff,Bellavista,1.5640626112102705,True,0.2650462688872532,6.0,True,0.2,
040125,159728.66,43399.09,22,2,Pisco y licores,59.1,Jul,AREQUIPA,AREQUIPA,VITOR,-16.454981560333295,-71.9393359053333,11764.05653662618,85b33083fffffff,86b3308afffffff,Juliaca,5.53911299093091,False,0.3065896477555408,4.0,False,0.2,
230105,151761.65,129122.5,10,1,Pimienta y ají,61.8,May,TACNA,TACNA,INCLAN,-17.66837407799996,-70.46431660799998,4301.789363367417,85b304c3fffffff,86b304d8fffffff,Juliaca,8.803962722024927,False,1.2413341391372272,4.0,False,0.2,
170104,146126.5,11974.0,12,1,Otros aceites vegetales,49.8,Jun,MADRE DE DIOS,TAMBOPATA,LABERINTO,-12.644980320399963,-69.67818925099996,13927.984732599289,858b448bfffffff,868b44897ffffff,Juliaca,8.823258688609169,False,12.69609623883341,6.0,False,0.1,
040103,136491.76,27043.6,9,4,Plantas para perfumería,58.0,Ago,AREQUIPA,AREQUIPA,CAYMA,-16.25080225499994,-71.46406065599996,453.03263358281504,85b33553fffffff,86b33551fffffff,Juliaca,4.333757292956175,False,1.038884625220239,6.0,True,0.1,
040207,134771.5,46000.0,2,1,Cebolla y ajo,100.0,Dic,AREQUIPA,CAMANA,QUILCA,-16.68621814399998,-72.38099879499998,456.5762465474221,85b330cffffffff,86b330cdfffffff,Juliaca,7.2699585185561855,False,2.938681286503035,4.0,False,0.1,
110404,130459.52,54972.5,3,3,Uva,59.4,Feb,ICA,PALPA,SANTA CRUZ,-14.483673586666631,-75.24917300366661,1949.0602525871197,858e6ac3fffffff,868e6ac37ffffff,Pisco,2.391856508315568,False,0.3495148612588509,4.0,True,0.1,
090401,126245.84,63952.0,3,1,"Palta, mango, dátil y piña",100.0,Feb,HUANCAVELICA,CASTROVIRREYNA,CASTROVIRREYNA,-13.214272764333279,-75.28469405266662,1003.4997179582531,858e6edbfffffff,868e6edb7ffffff,Pisco,3.4869345044425373,False,2.015365420532953,6.0,True,0.1,
220702,126014.4,166525.2,9,2,Banano y plátano,100.0,Set,SAN MARTIN,PICOTA,BUENOS AIRES,-6.730945220999942,-76.40952963274997,19444.650691292692,858f4073fffffff,868f40727ffffff,Bellavista,1.08271876848368,True,5.668936128930832,6.0,True,0.1,
120603,122534.19,11730.0,19,1,Café,100.0,Dic,JUNIN,SATIPO,LLAYLLA,-11.461214942999959,-74.64983708449995,8510.316999253526,858e6503fffffff,868e6500fffffff,Satipo,1.1190060056059656,True,12.233659888677389,6.0,True,0.1,
151003,119752.8,135504.0,7,2,"Palta, mango, dátil y piña",100.0,May,LIMA,YAUYOS,ALLAUCA,-12.655992726249949,-76.04405283499996,1534.1973318427818,858e63c3fffffff,868e63c27ffffff,Pisco,4.914195249446875,False,5.3274693394483945,6.0,True,0.1,
040128,105339.1,53804.7,21,5,Plantas para perfumería,60.5,Mar,AREQUIPA,AREQUIPA,YURA,-16.13866168249993,-71.61948592699994,1367.4216748038482,85b33427fffffff,86b33425fffffff,Juliaca,3.652227796192058,False,1.8189916670071355,6.0,True,0.1,
050502,102524.0,44296.0,6,2,"Palta, mango, dátil y piña",99.4,Oct,AYACUCHO,LA MAR,ANCO,-13.064098180999954,-73.65059082849996,8910.519322435848,858e6c17fffffff,868e6c8dfffffff,Pisco,10.522270383531582,False,4.364038875578194,6.0,False,0.1,
010704,101500.0,29000.0,2,1,Cacao en grano,100.0,Mar,AMAZONAS,UTCUBAMBA,EL MILAGRO,-5.69511859939995,-78.59967012459997,10098.518096719708,858f54a7fffffff,868f54a6fffffff,Chiclayo,4.746003371945253,False,0.1526345943381733,6.0,True,0.1,
110302,100978.67,38000.0,2,2,Hortalizas frescas (espárrago y otras),56.6,Jul,ICA,NASCA,CHANGUILLO,-14.74474441779995,-75.30222361399996,3708.916339628733,858e6acffffffff,868e6acdfffffff,Pisco,3.409973307709747,False,3.6517392046514616,4.0,True,0.1,
040706,97557.3,45576.0,4,1,Hortalizas preparadas,100.0,Jul,AREQUIPA,ISLAY,PUNTA DE BOMBON,-17.15882538766662,-71.64188645299997,2990.2996381061803,85b33027fffffff,86b330267ffffff,Juliaca,6.807881553299883,False,6.755859475511768,4.0,False,0.1,
220201,92153.12,19000.0,1,1,Café,100.0,Feb,SAN MARTIN,BELLAVISTA,BELLAVISTA,-6.999837139999954,-76.58720885099996,21163.1996935149,858f406bfffffff,868f40687ffffff,Bellavista,0.1725369982804729,True,0.8333854245279537,6.0,True,0.1,
