ruc,razon_social,clase,estado,condicion,ubigeo,direccion,exporta,importa,comex,activo,habido,distrito,provincia,dep
20616364864,AGROPRIME EXPORT S.A.C.,agro_otro,ACTIVO,HABIDO,150116,AV. CIRCUNVALACION ESTE OTR. HUARAL 234,True,False,True,True,True,LINCE,LIMA,LIMA
20616365682,AGROIND PERU S.A.C.S,agro_otro,ACTIVO,HABIDO,150103,AV. 15 DE ABRIL 157,False,False,False,True,True,ATE,LIMA,LIMA
20616366425,TRABAJADORES DE LA EX-HACIENDA HUACHIPA,productor,ACTIVO,HABIDO,150118,SEC. SECTOR EXTRABAJADORES DE 4 B,False,False,False,True,True,LURIGANCHO,LIMA,LIMA
20616368916,AGRO INDUSTRIAL WYOMINHG S.A.C.,agroindustria,ACTIVO,HABIDO,150143,JR. ALBINO TORRES A.H. CESAR VALLEJO 213,False,False,False,True,True,VILLA MARIA DEL TRIUNFO,LIMA,LIMA
20616370732,ASOCUACION DE PRODUCTORES AGROECOLOGICOS LA FLORIDA DEL DISTRITO DE CODO DEL POZUZO,agro_otro,ACTIVO,HABIDO,100902,JR. PADRE JUAN ROVIRA C.P. CODO DEL POZUZO L-10 M,False,False,False,True,True,CODO DEL POZUZO,PUERTO INCA,HUANUCO
20616371755,ASOCIACION AGRARIA SECTOR HUAYRURO,productor,ACTIVO,HABIDO,100103,---- OVALO LAS PAVAS CAS. LAS PAVAS SN,False,False,False,True,True,CHINCHAO,HUANUCO,HUANUCO
20616374983,COOPERATIVA AGRARIA DE PRODUCTORES ARROCEROS LA MORADA,productor,ACTIVO,HABIDO,100704,C.P. LA MORADA 3 F,False,False,False,True,True,,,
20616375041,ASOCIACION DE PRODUCTORES AGROPECUARIOS Y GANADEROS LOS ANDES DEL SECTOR MOLLOCO-ZEPITA,productor,ACTIVO,HABIDO,210402,AV. CULTURA 593,False,False,False,True,True,DESAGUADERO,CHUCUITO,PUNO
20616377052,ASOCIACION DE PRODUCTORES AGROPECUARIOS BANANEROS KIMBIRI ALTO-VRAEM,productor,ACTIVO,HABIDO,080907,JR. INDEPENDENCIA S/N,False,False,False,True,True,KIMBIRI,LA CONVENCION,CUSCO
20616371160,ASOCIACION DE PRODUCTORES AGROPECUARIOS Y FORESTALES HUAYPAMPA,productor,ACTIVO,HABIDO,200304,CAS. SAN ISIDRO SN,False,False,False,True,True,HUARMACA,HUANCABAMBA,PIURA
20616373286,ASOCIACION DE PRODUCTORES AGROPECUARIOS AGROECOLOGICOS DE ALTO PAMPAYLACCO CEDRUYOC,productor,ACTIVO,HABIDO,080408,SEC. PAMPAYLACCO Y ALTO CEDRUY SN,False,False,False,True,True,YANATILE,CALCA,CUSCO
20616374673,ASOCIACION DE PRODUCTORES AGROPECUARIOS CHAUPIMONTE  DE PARIABAMBA,productor,ACTIVO,HABIDO,030607,ANX. PARIABAMBA SN,False,False,False,True,True,URANMARCA,CHINCHEROS,APURIMAC
