ubigeo,dep,prov,dist,cod_se,sector,ha_se,ha_agricola,intensidad,lat,lon
010304,AMAZONAS,BONGARA,COROSHA,1030401,GOQUETE,2102.385118691166,396.8687307729737,0.18877070963099435,-5.799130128999934,-77.83102270599994
010304,AMAZONAS,BONGARA,COROSHA,1030402,BEIRUT,3078.992669126615,294.11248734087394,0.09552230841273866,-5.8199601539999435,-77.79137936999996
010304,AMAZONAS,BONGARA,COROSHA,1030403,COROSHA,1245.791824723716,550.505010036897,0.4418916540562342,-5.842513526999937,-77.82428476099994
010305,AMAZONAS,BONGARA,CUISPES,1030501,FANRE,4360.216756356872,344.4508403610334,0.07899855892688125,-5.8894693179999535,-77.91826749699999
010305,AMAZONAS,BONGARA,CUISPES,1030502,CUISPES,3114.9959877183737,846.015438919594,0.2715943912143755,-5.920308836999936,-77.91765416899995
010305,AMAZONAS,BONGARA,CUISPES,1030503,CHINATA,2184.7139620897037,497.1801329860611,0.22757218638841978,-5.944025791999934,-77.90744021599994
010306,AMAZONAS,BONGARA,FLORIDA,1030601,SAN JOSE,1976.4154148197242,845.23710447632,0.4276616637061683,-5.785494098999948,-77.94452750499994
010306,AMAZONAS,BONGARA,FLORIDA,1030602,SAN LORENZO,785.4218742898216,648.4421240777928,0.8255972303599439,-5.814050475999977,-77.96605407299995
010306,AMAZONAS,BONGARA,FLORIDA,1030603,POMACOCHAS,4380.258401513472,2531.547367277454,0.5779447546753751,-5.807939455999929,-77.92255966299996
010306,AMAZONAS,BONGARA,FLORIDA,1030604,NUEVO GALULO,3305.790602067864,1304.0523677734402,0.3944751875565619,-5.827235941999959,-77.87439139099996
010306,AMAZONAS,BONGARA,FLORIDA,1030605,MIRAFLORES,2381.295309281256,1228.4587170332634,0.5158783592464422,-5.854752674999929,-77.92213914499996
010306,AMAZONAS,BONGARA,FLORIDA,1030606,EL CHIDO,2827.4642192933065,1467.584318070095,0.5190461149095996,-5.857763863999935,-77.97361815899995
010306,AMAZONAS,BONGARA,FLORIDA,1030607,CARRERA,6583.851668853362,1954.7463412104785,0.2969001185822456,-5.820074611999928,-78.03601623699996
010307,AMAZONAS,BONGARA,JAZAN,1030701,CHOSGON,2546.2366084704972,733.7437351312892,0.28816793093397663,-5.931841727999938,-78.02358583099993
010307,AMAZONAS,BONGARA,JAZAN,1030702,SUYOBAMBA,503.5951798121011,178.32815092276985,0.3541101227166367,-5.943565890999935,-77.97109183099997
010307,AMAZONAS,BONGARA,JAZAN,1030703,CUCHULIA,1283.6590721210332,235.92501752577502,0.18379102570898997,-5.960143148999975,-77.99032287899996
010307,AMAZONAS,BONGARA,JAZAN,1030704,SAN JERONIMO,3254.4517901912463,1275.710835244758,0.39198947088099023,-5.955282083999975,-78.05299111699998
010308,AMAZONAS,BONGARA,RECTA,1030801,CHUELTA,1836.3955080909257,1003.2834121686532,0.5463329700755168,-5.940128476999973,-77.78297226299998
010308,AMAZONAS,BONGARA,RECTA,1030802,TEATA,972.204856799246,739.0693711781922,0.7601992172836936,-5.937506346999953,-77.76097839199997
010309,AMAZONAS,BONGARA,SAN CARLOS,1030901,SAN CARLOS,1588.308776490787,579.1236405746979,0.3646165337285455,-5.968077413999936,-77.94664582399997
010309,AMAZONAS,BONGARA,SAN CARLOS,1030902,TACALA,9672.444304196424,949.5431839856647,0.09816993038395704,-5.99616982699996,-77.87376437299997
010310,AMAZONAS,BONGARA,SHIPASBAMBA,1031001,COMBOCA,4136.707125486694,855.444262812727,0.20679352849087226,-5.882886705999965,-78.09800597299994
010310,AMAZONAS,BONGARA,SHIPASBAMBA,1031002,LA UNION,894.7254602204468,43.01850311318597,0.04808011510322604,-5.842153857999961,-78.05446333099997
010310,AMAZONAS,BONGARA,SHIPASBAMBA,1031003,SHIPASBAMBA,7524.424889728137,2875.3178450315845,0.38213124420403005,-5.886316835999935,-78.03012021599994
010311,AMAZONAS,BONGARA,VALERA,1031101,NUEVO HORIZONTE,243.6689359276749,159.90761710866914,0.6562494989354427,-6.04123468399996,-77.92983241399997
010311,AMAZONAS,BONGARA,VALERA,1031102,SAN PABLO,738.0803069352677,256.0931176370604,0.3469718880597646,-6.038266631999932,-77.91020246299996
010311,AMAZONAS,BONGARA,VALERA,1031103,LA COCA,6598.900299211239,657.9929240604741,0.0997125118164194,-6.087802127999964,-77.86063454399994
010311,AMAZONAS,BONGARA,VALERA,1031104,MATIAZA RIMACHI,232.89876591138412,140.76190834069234,0.6043909584057263,-6.053698406999956,-77.91870663299994
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,1031201,EL PROGRESO,80956.49927988592,104.67386609502039,0.0012929643330196118,-5.371159998999929,-77.81116146099998
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,1031202,AGUA DULCE,12386.088687041449,732.1437571652516,0.05911016590178574,-5.55660218099996,-77.93567613199997
