ubigeo,dep,prov,dist,cod_se,sector,ha_se,ha_agricola,intensidad,lat,lon,region_nat,region_agraria,agencia_agraria,k,ha_dep,share,productores,ua_total,ua_micro_0_5,ua_pequeno_5_20,ua_mediano_20_100,ua_grande_100_mas,ua_objetivo_5_mas,est_productores,est_ua_micro_0_5,est_ua_pequeno_5_20,est_ua_mediano_20_100,est_ua_grande_100_mas,est_ua_objetivo_5_mas,gasto_ha,tam_usd,ha_comercial,sam_usd
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,01011001,LEIMEBAMBA,4740.48180451758,1720.45162255691,0.3629275870054718,-6.692633500999932,-77.77140828699999,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0033022402706292756,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,229.71043770551367,144.9551389195427,60.44750815386889,20.117247728673547,2.4271465989125174,82.99190248145496,450,774203.2301506095,1378.0561278295847,620125.2575233132
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,01011002,CHILCHOS,19257.945334032924,3247.0231864806483,0.1686069375605954,-6.782636049999951,-77.81830742199998,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.006232346545221562,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,433.5344903787023,273.5750839490457,114.0831035102807,37.96745515348976,4.580774710737848,156.6313333745083,450,1461160.4339162917,2600.817216054205,1170367.7472243921
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,01011003,TAJOPAMPA,14109.904576630908,786.7178357820964,0.0557564249644234,-6.88378217099995,-77.78113709799999,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.001510028695303237,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,105.04061610268377,66.28421960903088,27.641075267525753,9.199094811787319,1.109871091047879,37.95004117036095,450,354023.02610194334,630.1492702602773,283567.17161712475
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,01011101,LEVANTO,2133.2487101492256,1058.7976584848388,0.4963310904384765,-6.303864637999936,-77.90867171199994,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.002032259565136922,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,141.36803987005456,89.20806587125033,37.20051133983136,12.380525270814129,1.4937107803756375,51.07474739102112,450,476458.9463181775,848.0811562944042,381636.5203324819
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,01011102,CACHUC,3839.154092735672,532.503898430545,0.1387034449693312,-6.306454821999978,-77.81931064599996,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0010220896621615176,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,71.09860107927949,44.865647810241974,18.70935126586658,6.226570221887965,0.7512359016887155,25.68715738944326,450,239626.75429374524,426.5276923246248,191937.46154608118
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,01011103,QUIPACHACHA,1520.6688156306366,65.22569838418612,0.0428927704137448,-6.3368231749999495,-77.91331482699997,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.00012519441120004723,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,8.708773631897685,5.495533874037274,2.2916836970168646,0.7626843530306877,0.09201789223203471,3.1463859422795872,450,29351.564272883752,52.24481303153799,23510.165864192095
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,01011201,MAGDALENA,5645.940917390526,1847.118302169152,0.3271586311645046,-6.413631977999955,-77.85896451499997,SELVA ALTA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.00354536469498292,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,246.62265891240187,155.62732865097024,64.89790074166234,21.598361721835946,2.605843050812446,89.10210551431074,520,960501.517127959,1479.5142518145287,769347.410943555
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,01011202,SEÑOR DE LOS MILAGROS,7909.160284973156,1609.3784180808657,0.2034828426904649,-6.422165419999942,-77.79568164499995,SELVA ALTA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0030890460116337714,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,214.8802186612684,135.59676372667604,56.54498724295619,18.818468302872937,2.270448818550822,77.63390436437994,520,836876.7774020502,1289.0881452027916,670325.8355054517
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,01011301,TACTA,3420.70647193023,1853.5039409745991,0.5418482866577872,-6.567048273999944,-77.78826004399997,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0035576213102463594,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,247.47525358335724,156.1653450345742,65.12225808405961,21.67302902202082,2.6148516630310743,89.4101387691115,450,834076.7734385696,1484.6290533995189,668083.0740297835
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,01011302,SHUEMBE,3633.319711776208,54.12410889059828,0.01489659957949,-6.585376378999968,-77.74570060599996,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.00010388598531171166,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,7.226516910253286,4.560179211242895,1.9016329611308818,0.6328734225189474,0.07635619920410806,2.610862582853937,450,24355.849000769227,43.35260517767768,19508.672329954956
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,01011303,DURAZNOPAMPA,839.2235759372519,580.6027865867597,0.6918332649774974,-6.599233590999972,-77.80074188599997,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0011144108197921455,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,77.52064544638122,48.91817734559602,20.399290056295225,6.78899071417375,0.819091952547227,28.007372723016204,450,261271.25396404188,465.0541854247056,209274.38344111753
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,01011401,MOLINOPAMPA,6387.261852625785,1831.8063874766708,0.2867905574786511,-6.17647945799996,-77.68183988899995,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0035159749576284894,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,244.57825000255298,154.33723674006018,64.3599215993895,21.41931944187276,2.5842415938569396,88.3634826351192,450,824312.8743645019,1467.249636178654,660262.3362803943
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,01011402,SANTA CRUZ DEL TINGO,4986.651908416461,1343.2875113722876,0.2693766350735429,-6.206184715999939,-77.62111621499997,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0025783102860482887,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,179.35242011809106,113.17750831637568,47.19596978611393,15.707066262606174,1.8950580602454923,64.79809410896559,450,604479.3801175294,1075.9532916900146,484178.98126050655
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,01011403,SAN JOSE DE DALLAVOZ,9263.731471213356,1346.6279276289863,0.1453656047580367,-6.2123247069999366,-77.57913765199999,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.002584721891547048,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,179.79842421979575,113.45895215134921,47.31333422476871,15.746125763304615,1.8997705902870803,64.9592305783604,450,605982.5674330438,1078.6289153644566,485383.01191400544
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,01011404,IZCUCHACA,7868.347001727709,895.8117936961819,0.1138500619633935,-6.221007257999929,-77.52918554599995,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0017194239822051864,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,119.60657105015717,75.47583512287886,31.47405599426594,10.474730899593995,1.263776626920812,43.21256352078075,450,403115.30716328183,717.5319058668855,322889.3576400985
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,01011405,HUASCAZALA,5558.694657841621,1962.353614998956,0.3530241784787862,-6.247398313999952,-77.66654934199994,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0037665477178798934,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,262.00859235116116,165.3363786240558,68.94665597579144,22.94580869732431,2.7684125726417217,94.66087724575748,450,883059.1267495302,1571.816021248454,707317.2095618043
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,01011501,MONTEVIDEO,6289.164394149647,1028.6619606708318,0.1635609909684856,-6.611375783999961,-77.71783648399997,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0019744170117049166,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,137.3443961682174,86.66900914579902,36.141703399258496,12.028148435306353,1.4511965036031136,49.62104833816797,450,462897.88230187434,823.942911141487,370774.31001366914
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,01011502,SAMANGA,6007.890540962988,521.6891910118806,0.0868340039577785,-6.640477985999951,-77.71524144399996,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0010013318786326144,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,69.65464814144192,43.95446414445724,18.329380038370008,6.100113804629887,0.7359789307949716,25.165472773794864,450,234760.13595534625,417.8652727403848,188039.37273317316
10116,AMAZONAS,CHACHAPOYAS,OLLEROS,01011601,SAN MIGUEL - SIRICHA,4407.063303766175,994.7565832857902,0.2257186962655367,-5.982745918999967,-77.70731229999996,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0019093389234147214,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,132.81743419057486,83.81234138221261,34.95044899310648,11.631692721442484,1.4033641087098203,47.98550582325878,450,447640.46247860556,796.7852087921518,358553.34395646834
10116,AMAZONAS,CHACHAPOYAS,OLLEROS,01011602,OLLEROS,6281.053747132406,695.7287702247131,0.1107662500965456,-6.02641171199997,-77.64550042499997,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0013353839958934579,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,92.89198152234071,58.618015883739226,24.444204044829746,8.135159302982945,0.9815072369816915,33.56087058479438,450,313077.94660112093,557.2683838041444,250770.77271186496
10117,AMAZONAS,CHACHAPOYAS,QUINJALCA,01011701,QUINJALCA,6177.108874927127,2421.7692978817818,0.3920554659011659,-6.094981845999939,-77.67492652399994,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.004648351628599349,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,323.3486359886279,204.04404308899703,85.08807656151109,28.317758121427236,3.4165384470205216,116.82237312995883,450,1089796.1840468019,1939.801141386146,872910.5136237657
