ubigeo,dep,prov,dist,cod_se,sector,ha_se,ha_agricola,intensidad,lat,lon,k,region_nat,agencia_agraria,share,ha_cosechada,gasto_ha,sam_usd,clientes_sam,tam_usd,share_comercial,tasa_compra,s_ha_cosechada,s_sam_usd,s_clientes_sam,s_tam_usd
130904,LA LIBERTAD,SANCHEZ CARRION,CURGOS,13090401,CALVARIO,1941.330504761732,1598.768127141425,0.8235424742051584,-7.848028383999974,-77.96683297699997,lalibertad,SIERRA,SANCHEZ CARRION,0.002565438665612622,278106.52,467.5824123391761,54106627.79173444,14107.358065027756,130037717.50885336,0.6455083057947524,0.6445836637589215,713.4652195669701,138807.23500282603,36.19156184966427,333603.7884852239
130904,LA LIBERTAD,SANCHEZ CARRION,CURGOS,13090402,HUAYLLAHUAL,3168.512491723835,2322.927347446366,0.733128669529901,-7.820269377999978,-77.94323731099996,lalibertad,SIERRA,SANCHEZ CARRION,0.0037274496115975663,278106.52,467.5824123391761,54106627.79173444,14107.358065027756,130037717.50885336,0.6455083057947524,0.6445836637589215,1036.6280399567509,201679.72874715464,52.58446634015551,484709.0396214095
130904,LA LIBERTAD,SANCHEZ CARRION,CURGOS,13090403,CURGOS,2084.3267519891447,1343.235873637986,0.6444459211378878,-7.849638013999936,-77.92305543099997,lalibertad,SIERRA,SANCHEZ CARRION,0.00215540276839908,278106.52,467.5824123391761,54106627.79173444,14107.358065027756,130037717.50885336,0.6455083057947524,0.6445836637589215,599.4315631178341,116621.57533104302,30.407038628157913,280283.65631488006
130904,LA LIBERTAD,SANCHEZ CARRION,CURGOS,13090404,HUAMANZAÑA,2645.208073628884,1668.7132570611768,0.6308438544767927,-7.878939273999947,-77.97997996799995,lalibertad,SIERRA,SANCHEZ CARRION,0.0026776750416831565,278106.52,467.5824123391761,54106627.79173444,14107.358065027756,130037717.50885336,0.6455083057947524,0.6445836637589215,744.6788875333576,144879.96682756755,37.774920594812414,348198.75065090146
130905,LA LIBERTAD,SANCHEZ CARRION,MARCABAL,13090501,MARCABAL,3689.582457784958,2896.2140402423934,0.7849706771375795,-7.700785525999947,-78.03208065599995,lalibertad,SIERRA,SANCHEZ CARRION,0.004647365278674168,278106.52,467.5824123391761,54106627.79173444,14107.358065027756,130037717.50885336,0.6455083057947524,0.6445836637589215,1292.462584820903,251453.2633454534,65.56204604523398,604332.773268685
130905,LA LIBERTAD,SANCHEZ CARRION,MARCABAL,13090502,AGOCASA,6834.327015348594,2280.480406247736,0.3336803171879561,-7.695340905999956,-77.94834945999997,lalibertad,SIERRA,SANCHEZ CARRION,0.0036593377807827665,278106.52,467.5824123391761,54106627.79173444,14107.358065027756,130037717.50885336,0.6455083057947524,0.6445836637589215,1017.6856957180181,197994.42726904468,51.623588354386534,475851.9326069038
130905,LA LIBERTAD,SANCHEZ CARRION,MARCABAL,13090503,FUSTAN ALTO,4051.409428155891,634.1524586109482,0.1565263817089945,-7.621626534999962,-77.89445302799999,lalibertad,SIERRA,SANCHEZ CARRION,0.0010175829812936487,278106.52,467.5824123391761,54106627.79173444,14107.358065027756,130037717.50885336,0.6455083057947524,0.6445836637589215,282.99646173880177,55057.983616058926,14.355407477987944,132324.1682632803
130905,LA LIBERTAD,SANCHEZ CARRION,MARCABAL,13090504,LA PAUCA,6131.809307753312,1864.853202531576,0.3041277229827709,-7.683104574999959,-77.87764523799996,lalibertad,SIERRA,SANCHEZ CARRION,0.0029924079860286267,278106.52,467.5824123391761,54106627.79173444,14107.358065027756,130037717.50885336,0.6455083057947524,0.6445836637589215,832.20817141463,161909.10510106458,42.21497093555441,389125.9043584274
130905,LA LIBERTAD,SANCHEZ CARRION,MARCABAL,13090505,CHAQUILBAMBA,2856.652306587773,2267.6547698081404,0.7938154617482374,-7.733104644999969,-78.01345112799999,lalibertad,SIERRA,SANCHEZ CARRION,0.0036387573206931225,278106.52,467.5824123391761,54106627.79173444,14107.358065027756,130037717.50885336,0.6455083057947524,0.6445836637589215,1011.9621355824884,196880.88797519167,51.33325243475891,473175.6965515644
130906,LA LIBERTAD,SANCHEZ CARRION,SANAGORAN,13090601,VENTANAS,3169.797967752624,1224.2138065193822,0.3862119349478117,-7.768532636999964,-78.19441518999997,lalibertad,SIERRA,SANCHEZ CARRION,0.0019644158404865516,278106.52,467.5824123391761,54106627.79173444,14107.358065027756,130037717.50885336,0.6455083057947524,0.6445836637589215,546.31685323059,106287.91670939303,27.712717650356232,255448.15213510694
