dep,prov,dist,sector,ha_agricola,ha_territorial,intensidad_agricola
AMAZONAS,UTCUBAMBA,YAMON,YAMON,1851.547998,3751.534436,0.4935441829434936
ANCASH,AIJA,AIJA,AIJA,1995.544044,16260.877764,0.12272056115063727
ANCASH,AIJA,CORIS,CORIS - 1,623.221566,16954.57828,0.03675830537968415
ANCASH,AIJA,CORIS,CORIS - 2,1518.016124,8987.345663,0.16890594630731964
ANCASH,AIJA,HUACLLAN,HUACLLAN,724.984848,3997.010619,0.18138176680185597
ANCASH,AIJA,LA MERCED,LA MERCED,3225.119613,15689.082063,0.2055645830679852
ANCASH,AIJA,SUCCHA,SUCCHA,958.170811,7750.736935,0.12362318822526261
ANCASH,ANTONIO RAYMONDI,ACZO,ACZO,2391.748518,6613.450845,0.3616490957679447
ANCASH,ANTONIO RAYMONDI,CHACCHO,CHACCHO,2061.726373,7202.262558,0.2862609293117081
ANCASH,ANTONIO RAYMONDI,CHINGAS,CHINGAS,2254.636155,5081.311533,0.4437114592084193
ANCASH,ANTONIO RAYMONDI,LLAMELLIN,LLAMELLIN,3631.54814,9603.526341,0.3781473607768386
ANCASH,ANTONIO RAYMONDI,MIRGAS,MIRGAS,4192.057027,17215.513016,0.24350462417843288
ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,SAN JUAN DE RONTOY,1410.322923,10198.750807,0.13828388884960427
ANCASH,ASUNCION,ACOCHACA,ACOCHACA,4005.728628,7661.316357,0.5228512231243448
ANCASH,ASUNCION,CHACAS,CHACAS,4557.876897,45163.307678,0.1009199089113714
ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,LLACLLA,231.548725,1191.439858,0.19434361159336
ANCASH,BOLOGNESI,ANTONIO RAYMONDI,RAQUIA,1113.74842,12204.705043,0.09125566050764902
ANCASH,BOLOGNESI,AQUIA,AQUIA,1974.760778,43707.801739,0.045180967686094864
ANCASH,BOLOGNESI,CAJACAY,CAJACAY,2151.135843,18534.232173,0.11606285185817931
ANCASH,BOLOGNESI,CANIS,CANIS,417.981417,2074.620024,0.20147372153195803
ANCASH,BOLOGNESI,CHIQUIAN,CHIQUIAN,2410.435417,18586.14556,0.12968990311727657
ANCASH,BOLOGNESI,COLQUIOC,CHASQUITAMBO,1189.060215,30538.923007,0.03893589222931826
ANCASH,BOLOGNESI,HUALLANCA,HUALLANCA,1480.132332,81822.837542,0.01808947692922825
ANCASH,BOLOGNESI,HUASTA,HUASTA,3097.416967,39000.377696,0.07942017872605579
ANCASH,BOLOGNESI,HUAYLLACAYAN,HUAYLLACAYAN,1535.997594,11758.245921,0.13063152483116022
ANCASH,BOLOGNESI,LA PRIMAVERA,GORGORILLO,860.807132,6251.34765,0.13769944981383336
ANCASH,BOLOGNESI,MANGAS,MANGAS,1465.014773,12608.966876,0.11618832751385207
ANCASH,BOLOGNESI,PACLLON,PACLLON,1901.207537,21071.144874,0.0902280131605914
ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,CORPANQUI,1085.031125,4274.50434,0.2538378812360733
ANCASH,BOLOGNESI,TICLLOS,TICLLOS,2033.405607,9261.773321,0.21954819412276996
ANCASH,CARHUAZ,ACOPAMPA,ACOPAMPA,540.830255,751.008582,0.7201385815854764
ANCASH,CARHUAZ,ACOPAMPA,UCUCHA,539.289089,707.962565,0.7617480297139722
ANCASH,CARHUAZ,AMASHCA,AMASHCA,810.078461,1322.506222,0.6125328164996716
ANCASH,CARHUAZ,ANTA,ANTA,2241.763559,4328.065461,0.5179597164600279
ANCASH,CARHUAZ,ATAQUERO,ATAQUERO,1396.634947,4642.748778,0.30082070208451844
ANCASH,CARHUAZ,CARHUAZ,AMPU,1485.192089,3719.841977,0.3992621455919443
ANCASH,CARHUAZ,CARHUAZ,CARHUAZ,1882.526873,3071.720937,0.6128573889393
ANCASH,CARHUAZ,CARHUAZ,COCHAPAMPA,1786.147192,5426.205001,0.3291706066525001
ANCASH,CARHUAZ,CARHUAZ,NIVIN,1220.558497,7340.419199,0.16627912710574883
ANCASH,CARHUAZ,MARCARA,COPA GRANDE,876.048251,2956.863801,0.29627615945777547
ANCASH,CARHUAZ,MARCARA,MARCARA,1281.049075,2061.448448,0.621431535793613
ANCASH,CARHUAZ,MARCARA,VICOS,2401.416206,12697.825057,0.18912027809645698
ANCASH,CARHUAZ,PARIAHUANCA,PARIAHUANCA,937.375549,1193.951513,0.7851035312520267
ANCASH,CARHUAZ,SAN MIGUEL DE ACO,SAN MIGUEL DE ACO,1867.383112,12304.677353,0.1517620542520535
ANCASH,CARHUAZ,SHILLA,SHILLA,1539.113375,12794.081766,0.120298854044388
ANCASH,CARHUAZ,TINCO,TINCO,989.1702,1577.20492,0.6271665700865301
ANCASH,CARHUAZ,YUNGAR,YUNGAR,1711.83838,4532.854035,0.37765133551228497
ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,POMALLUCAY,5785.806185,13671.96631,0.4231875689137798
ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,SAN LUIS,3751.971178,11090.255059,0.3383124335770067
ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,SAN NICOLAS,2935.861124,20504.306523,0.14318265876033404
ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,YAUYA,5022.764655,17476.15632,0.2874067136405656
ANCASH,CASMA,BUENA VISTA ALTA,BUENA VISTA ALTA 1,1404.906342,27471.777161,0.051139987550367125
ANCASH,CASMA,BUENA VISTA ALTA,BUENA VISTA ALTA 2,2485.116102,20650.958748,0.12033901826667867
ANCASH,CASMA,CASMA,CASMA - 1,4305.53892,47765.823898,0.09013848330543037
ANCASH,CASMA,CASMA,CASMA - 2,2075.653389,73187.939781,0.02836059322356894
ANCASH,CASMA,COMANDANTE NOEL,COMANDANTE NOEL 1,636.416478,5183.250898,0.12278326681920153
ANCASH,CASMA,COMANDANTE NOEL,COMANDANTE NOEL 2,1547.181558,16578.400399,0.09332514119355721
ANCASH,CASMA,YAUTAN,YAUTAN 1,3748.28833,25957.256818,0.1444023286544192
