h3,sectores,ha_agricola,ha_cosechada,clientes,sam_usd,horas_capital,horas_puerto,costo_viaje,region_nat,dep,prov,prospectos,empresas,exportadores,fob_export,centro_lat,centro_lon,km2,sam_por_km2,res
858f4677fffffff,3,4596.903486187895,2295.677433504631,44.788556099959195,163983.699519678,1.8991971121740132,10.65363208209832,69.8238451699717,SELVA ALTA,AMAZONAS,RODRIGUEZ DE MENDOZA,0,6,0,0.0,-6.207476770694806,-77.24846778497442,297.37049816704086,551.4457571630526,5
858f53abfffffff,1,1882.0921928701844,839.9012319768514,42.60521263131616,163405.81781538491,1.128612550114838,1.1029659467177817,39.98078402550789,COSTA,LA LIBERTAD,ASCOPE,0,0,0,0.0,-8.028543077426727,-79.18736261157727,301.71596601133587,541.5882360340372,5
858f589bfffffff,10,7657.346363330462,1368.4296260150782,103.82742398296952,163049.745336196,3.435470761324011,7.429227589490273,126.71488667862437,SIERRA,ANCASH,POMABAMBA,3,4,0,0.0,-8.873006225673914,-77.50548611263659,299.57633153402134,544.2677814408022,5
85b3340bfffffff,1,912.6977418444616,729.0156859856012,31.25381563819757,162019.9909968528,3.126522999123869,4.949917123397173,112.09586669250574,SIERRA,AREQUIPA,CAYLLOMA,0,0,0,0.0,-15.729870951056057,-72.1180284054241,282.8408998051903,572.8308427403739,5
858e6cdbfffffff,5,6636.528152162424,2139.788002724089,51.890997005014434,161182.47384776972,2.2426389703394523,8.57230711514862,86.94365104107956,SIERRA,AYACUCHO,HUANTA,3,0,0,0.0,-12.772309374042562,-74.20040052604323,291.75141020666865,552.4651062820657,5
858f5e2bfffffff,1,7549.648017334688,1349.1830619522063,102.36712150984172,160756.49816484787,1.6150904206602814,0.6516808344466287,57.88422311601882,COSTA,ANCASH,SANTA,3,61,6,33314677.9524,-9.120752956659322,-78.41312623738938,301.073739147716,533.9439388500629,5
858f51b3fffffff,2,8275.002715280552,2543.331434513031,87.61320095463645,160515.087352055,1.979612208264918,7.80187960522216,67.86401948047454,SIERRA,CAJAMARCA,SAN MARCOS,1,0,0,0.0,-7.31326611328755,-77.93998769756429,299.495432023468,535.9517047307662,5
858f4a8bfffffff,2,11106.132364223744,2716.6708541075313,32.63016715117162,160342.41534253076,2.114520588619917,12.311629269074764,76.12461191970702,SELVA BAJA,UCAYALI,PADRE ABAD,0,0,0,0.0,-9.232373381770891,-75.49079459172162,295.72628391412496,542.1987292448179,5
85b320cbfffffff,3,6080.699182106435,2030.914113666658,95.26591784025649,159942.70802999428,1.7838664467750611,7.051980225109367,62.72351791931154,SIERRA,PUNO,EL COLLAO,0,0,0,0.0,-16.115286293225168,-69.41402501444531,273.56479602535893,584.6611492188048,5
858f5153fffffff,5,8211.942175511598,2523.9497063625886,86.94553522289198,159291.8650284188,2.2464665041743506,3.6691117713293124,86.28515622306853,SIERRA,CAJAMARCA,CONTUMAZA,0,0,0,0.0,-7.39045501836286,-78.82808397121663,300.85628892982027,529.4616429493228,5
858e6283fffffff,4,1571.9865884189185,792.2393215024119,32.57264691528667,159076.00779280398,0.9463260423775508,1.2147547939594516,36.350761692544545,COSTA,LIMA,HUAROCHIRI,9,4,1,271239.3008,-11.985513335659359,-76.62618117596183,297.5990076608649,534.5313784583661,5
85b33427fffffff,1,894.637194614973,714.5898562457653,30.635362247160707,158813.92444780393,1.3052230759410437,2.910988166189214,50.64404287794463,SIERRA,AREQUIPA,AREQUIPA,0,5,0,0.0,-16.0892696592356,-71.56657529859973,280.65631094473906,565.8662152053806,5
858e6157fffffff,10,4706.4207314507785,1432.4170314119667,40.77960485525392,158556.36911645392,2.2416372060003984,7.313923902926521,82.48015661699236,SIERRA,HUANCAVELICA,HUANCAVELICA,0,1,0,0.0,-12.5373421412964,-75.05803322267928,293.97017110774755,539.362100987923,5
858f5c2bfffffff,3,7442.177335219092,1329.9771832630431,100.90990597481115,158468.09869607503,2.544113511012455,7.304182257519675,92.72635755408622,SIERRA,ANCASH,POMABAMBA,0,0,0,0.0,-8.636895629700428,-77.33584777905735,299.2068022184033,529.6273263881303,5
858f5927fffffff,11,2717.4962433646556,1389.7590809949086,61.191136018294976,157948.7210472808,1.6847440601011654,5.376847695965224,59.697955205774115,SIERRA,PASCO,PASCO,1,1,0,0.0,-10.511582677830065,-76.19307374002781,297.2563530586966,531.3552407611353,5
85b3308bfffffff,1,889.5819714888265,710.552005831377,30.462254542001663,157916.53293708307,1.8938597277270133,2.07409631575898,66.5448870584852,COSTA,AREQUIPA,AREQUIPA,2,0,0,0.0,-16.473059267557076,-72.03314168913045,281.43923568117094,561.1034742717222,5
858b610ffffffff,2,2092.7334043664187,1441.58030323397,74.38938580927078,157446.0383324159,2.4594732940230495,12.855708638699694,94.19054323325994,SIERRA,CUSCO,PAUCARTAMBO,0,2,0,0.0,-13.196962312888585,-71.77024596312536,284.66425551440676,553.0938123857549,5
858b6d93fffffff,4,6476.862997948804,2088.3078351415747,50.64257556399268,157304.65943134908,4.657586378499616,10.001568750569154,162.84932050667885,SELVA ALTA,AYACUCHO,HUANTA,0,24,2,2120087.476,-12.629090518759435,-73.89612806317004,291.0816697725084,540.4141715769624,5
858e6543fffffff,1,1861.1402955944543,914.2383654641052,53.44488973809384,156263.64170985136,4.450180274455573,8.484367812184008,147.37096476182973,SIERRA,JUNIN,JAUJA,0,0,0,0.0,-11.445550699108798,-75.1063445738202,294.66227852137075,530.3143737772941,5
858e6613fffffff,4,1543.5255079877243,777.8956959167044,31.98291368820788,156195.91003254388,1.7869256108683544,3.075972235919661,77.35938921412131,SIERRA,LIMA,HUARAL,0,0,0,0.0,-11.055509712126126,-76.68527993020768,298.102759966612,523.966668574414,5
858b6423fffffff,2,2074.4496306645956,1428.9855178770101,73.739461316683,156070.46525219837,1.3321444038835948,6.611907433722927,46.56185278055307,SIERRA,CUSCO,ESPINAR,1,0,0,0.0,-14.799260737297896,-71.17632978351999,281.2102180022332,554.9957123213743,5
858b614ffffffff,1,2072.0167705257973,1427.309641126872,73.65298160975644,155887.4299024154,1.6302545084563933,14.483418932252809,53.13140749952109,SELVA ALTA,CUSCO,PAUCARTAMBO,0,0,0,0.0,-13.143319490427912,-71.3351195164938,283.352844426728,550.1530440529114,5
858e6bb3fffffff,2,6403.155459239254,2064.542621851607,50.06625650337392,155514.51205940364,1.246386249184475,6.904657150150484,46.53093797286628,SIERRA,AYACUCHO,PARINACOCHAS,0,2,0,0.0,-15.311116124796206,-73.54249544394604,287.3823338806588,541.1415168059152,5
85b336b3fffffff,1,868.7032459179837,693.8751611908135,29.7472973225032,154210.18989061346,2.4917082632193064,4.108093703574346,85.30984241180356,SIERRA,AREQUIPA,CONDESUYOS,0,1,0,0.0,-15.949510242648595,-72.57291015124447,283.8205506173428,543.3369414413027,5
858f0993fffffff,1,3578.94272078469,1134.1805843735838,39.36838071851426,153918.3139667103,1.837681465909303,2.879720249759428,60.075974822622406,COSTA,PIURA,AYABACA,0,0,0,0.0,-4.405002163296847,-79.98702462330284,298.9416720075342,514.8774104763525,5
