cluster,celdas,sam_usd,clientes,ha_agricola,empresas,exportadores,prospectos,lat,lon,horas_capital,dep,provincias,extension_km,sam_por_cliente,rank,pct_sam,pct_acum,visitable_en_dia
6,33,8321340.169563073,1138.8243649326762,50446.13146471345,134,9,159,-14.13138543206373,-75.6412125735481,1.1238859453210395,ICA,"Ica, Huaytara",119.67692509421971,7306.956564856254,11,1.6554989429342823,40.68154199749097,True
2,38,7848662.515077956,2059.2712983467945,92207.37941420024,729,44,236,-7.883489515929746,-79.07284601930354,0.6860627190734644,LA LIBERTAD,"Ascope, Trujillo",107.12495341541859,3811.378579101718,12,1.561461523311542,42.24300352080251,True
23,60,6823626.768246845,2292.79417902013,167040.40333292726,230,1,2,-9.845732996616201,-76.38586074277555,1.7404290012072718,HUANUCO,"Huanuco, Ambo",153.5419495541923,2976.118323522199,13,1.357534564339757,43.60053808514227,False
10,40,6601266.210520093,1397.3107824320437,69149.72155849644,289,7,44,-10.823665351910135,-77.55551242059695,0.9998852437283169,LIMA,"Huaura, Barranca",118.13122214185834,4724.264847531252,14,1.3132967780257954,44.91383486316806,True
22,80,6425851.032083868,1924.2302413282737,187909.86997877914,200,6,1,-5.827958852559464,-78.33695232694336,1.6403389423738983,AMAZONAS,"Utcubamba, Bongara",119.60396957622766,3339.4397895171724,15,1.2783985961754736,46.192233459343534,True
12,36,5725801.1893438585,1845.688141371863,99201.61963176102,227,20,65,-8.652943158239134,-78.63998257876858,1.2296410761930525,LA LIBERTAD,"Viru, Santa",118.29371934345656,3102.258209823023,16,1.139126345427161,47.33135980477069,True
7,35,5385204.531987383,794.9588250721216,32040.679039064267,96,3,5,-3.7137890733829635,-80.44747304740864,1.1149269101907173,TUMBES,"Tumbes, Zarumilla",113.6723156341175,6774.193030058906,17,1.0713659372800437,48.402725742050734,True
20,33,5305437.303788863,3160.052499515003,201702.02612685534,120,0,0,-16.276212920082823,-69.46768057960578,1.3513512431031518,PUNO,"Chucuito, El Collao",121.59365670190071,1678.9079626376868,18,1.0554965509465222,49.458222292997256,False
30,28,4994985.749553274,1152.400284489891,300043.4568496108,19,1,0,-8.568092055927027,-75.03682963069427,2.2345341255308724,UCAYALI,"Padre Abad, Coronel Portillo",119.66123767776901,4334.419052807073,19,0.9937333962867473,50.451955689284006,True
44,125,4993986.823287086,1594.167136763561,204156.99706598386,272,2,175,-13.413671218885254,-74.13700085970689,1.6687674398572472,AYACUCHO,"Huamanga, Cangallo",119.68059025502708,3132.6620077150474,20,0.9935346637095365,51.445490352993545,True
