h3,dep,prov,centro_lat,centro_lon,sam_usd,clientes,cluster,horas_al_territorio
868f5532fffffff,AMAZONAS,LUYA,-6.54319988200195,-77.94800049234814,14040.559798418342,4.013821334782529,-1,
868b650d7ffffff,CUSCO,CHUMBIVILCAS,-14.338495661284838,-71.7990576831235,14039.330775403205,6.633238947241362,-1,
868e6d387ffffff,APURIMAC,GRAU,-14.12580052178098,-72.71284464627514,13996.209813159412,2.507122852198053,-1,
868e6d38fffffff,APURIMAC,GRAU,-14.17557101268668,-72.67545950305963,13995.777486192244,2.50704541003096,-1,
868e6d19fffffff,APURIMAC,ABANCAY,-13.83415581191394,-73.00003374849184,13844.562356141132,2.4799584405434927,-1,
868e6c22fffffff,APURIMAC,CHINCHEROS,-13.563448557135764,-73.47637832983501,13805.4531927958,2.4729528670016303,-1,
868f50b87ffffff,CAJAMARCA,SANTA CRUZ,-6.692624981084476,-79.05107947111388,13795.231679078264,7.529786920677129,-1,
868e62b6fffffff,LIMA,YAUYOS,-12.267029841340973,-76.14686615225597,13788.508788669093,2.823356171011241,-1,
868f58c1fffffff,ANCASH,HUAYLAS,-9.069033289210555,-77.83969308384725,13787.4814215151,8.77964375999044,-1,
868e6d81fffffff,APURIMAC,ABANCAY,-13.52465754423964,-72.68395647963303,13770.80328541506,2.4667460741783964,-1,
868e6d557ffffff,APURIMAC,AYMARAES,-13.856518416138035,-73.18900309994855,13731.419564736549,2.45969131953869,-1,
868e6da97ffffff,APURIMAC,GRAU,-13.896281289842864,-72.61096352999022,13721.746071324524,2.457958519250782,-1,
86b33514fffffff,MOQUEGUA,GENERAL SANCHEZ CERRO,-16.25735896277152,-70.8160091274951,13677.726098695868,3.991367764713421,-1,
868e6d447ffffff,APURIMAC,AYMARAES,-14.01388362736913,-73.1398429952132,13663.32190493485,2.447493074345944,-1,
868e6dd8fffffff,APURIMAC,ANDAHUAYLAS,-13.476633475034518,-73.19860650582034,13646.48173850838,2.444476517246112,-1,
868f5d6f7ffffff,HUANUCO,HUAMALIES,-9.4059277782326,-76.7179050333409,13638.552591083357,4.582664769504964,-1,
868f4ba57ffffff,UCAYALI,ATALAYA,-10.292597051577502,-74.04811222326171,13595.516575528934,2.76672879985214,-1,
868f59a97ffffff,HUANUCO,HUANUCO,-10.08784311797363,-76.36307650879736,13591.288916372185,4.566783789794709,-1,
868e68c47ffffff,AYACUCHO,VICTOR FAJARDO,-14.117185565356934,-74.02512917038784,13467.385197520052,4.335682585501889,-1,
868a690cfffffff,LORETO,PUTUMAYO,-2.627376146568411,-72.95803116149587,13377.341572777455,3.840025836856051,-1,
868f59517ffffff,ANCASH,BOLOGNESI,-9.936581032056385,-77.08314572455315,13357.200998360177,8.50564818990009,-1,
868b65267ffffff,APURIMAC,COTABAMBAS,-14.129651492622743,-72.29874011045663,13350.601014683076,2.3914757881823143,-1,
868b41807ffffff,MADRE DE DIOS,TAHUAMANU,-10.95681100865749,-70.74075284311391,13347.180221494364,7.515915757725836,-1,
868e6d127ffffff,APURIMAC,ABANCAY,-13.64695676335396,-72.79767014333164,13336.457857084575,2.388942342764535,-1,
868b62277ffffff,MADRE DE DIOS,TAMBOPATA,-13.101259783417348,-70.1495192589993,13318.085162932692,7.499532071772193,-1,
868f5c4afffffff,ANCASH,PALLASCA,-8.308741887888852,-77.97500261614996,13307.84293277314,8.474217777101114,-1,
868b44c07ffffff,MADRE DE DIOS,TAMBOPATA,-12.687183847326423,-69.45260003637716,13302.723675652613,7.490881881814878,-1,
868e6e90fffffff,HUANCAVELICA,ANGARAES,-13.203184089982203,-74.63564890254547,13296.15884811345,3.4196803757565832,-1,
868b656afffffff,CUSCO,ACOMAYO,-14.0442485994907,-71.61090253081886,13289.116737227345,6.278781241499871,-1,
86b335b07ffffff,MOQUEGUA,GENERAL SANCHEZ CERRO,-16.060814030983405,-70.55426108951708,13285.72499631972,3.8769759021723615,-1,
868f586afffffff,ANCASH,AIJA,-9.841000454448714,-77.8313654400242,13270.408453842629,8.450380110213098,-1,
868f5854fffffff,ANCASH,YUNGAY,-9.397356996248323,-77.8088282552415,13270.19058722233,8.450241376295356,-1,
868e64527ffffff,PASCO,PASCO,-10.550371912720498,-76.02904416905115,13259.010913284828,5.136692053492491,-1,
868e6884fffffff,APURIMAC,ANDAHUAYLAS,-14.115928139944751,-73.54437404710929,13248.60204952094,2.373204846272162,-1,
868e68957ffffff,APURIMAC,ANDAHUAYLAS,-13.908230227298292,-73.63090394397513,13224.410125129203,2.368871378333996,-1,
868e684b7ffffff,AYACUCHO,LUCANAS,-14.44803254131032,-74.53665260284755,13222.126219229482,4.256724044885687,-1,
868f59097ffffff,HUANUCO,LAURICOCHA,-10.130796305492508,-76.80762088225524,13217.220156869327,4.441093639458162,-1,
868e6c2afffffff,APURIMAC,CHINCHEROS,-13.635527717853437,-73.62838344017169,13215.884491744686,2.3673441927192385,-1,
868e61d37ffffff,JUNIN,HUANCAYO,-11.988308759535538,-75.0505350550966,13213.665126367803,4.519303837972066,-1,
868e6d357ffffff,APURIMAC,GRAU,-14.1526707949424,-72.48696704273674,13178.727774831852,2.3606883583663385,-1,
868f5531fffffff,AMAZONAS,LUYA,-6.605988208091426,-78.03771771755173,13142.82975742137,3.75718427449703,-1,
868b75b77ffffff,PUNO,SANDIA,-14.291148909004782,-69.38483510800863,13098.975554750084,7.802080784804093,-1,
86b3234b7ffffff,TACNA,TACNA,-17.59521667511266,-69.70559973396027,13049.383708435944,3.962272967784519,-1,
868f580afffffff,ANCASH,CARHUAZ,-9.437443525639544,-77.64446339769339,13024.25994130721,8.293636743818409,-1,
868e6990fffffff,APURIMAC,ANTABAMBA,-14.504464269614465,-72.70267047394591,12964.468109490805,2.3223083033048755,-1,
868e6da9fffffff,APURIMAC,GRAU,-13.946075291330589,-72.57361465802512,12949.560437331553,2.319637911388601,-1,
868b40cc7ffffff,MADRE DE DIOS,TAHUAMANU,-11.382038269471384,-69.36060136388838,12936.546426033385,7.284684219472552,-1,
868f5b88fffffff,ANCASH,BOLOGNESI,-10.260893001821469,-77.59857306108162,12926.46417954467,8.231361994481512,-1,
868b65a4fffffff,APURIMAC,ANTABAMBA,-14.424057308576574,-72.48849639879278,12919.822844637569,2.314311055103384,-1,
868b61467ffffff,CUSCO,PAUCARTAMBO,-13.273284960237902,-71.5092579674769,12905.476711778914,6.097520752717626,-1,
868f599b7ffffff,HUANUCO,HUAMALIES,-9.503015999887898,-76.58046947119793,12901.297368531945,4.334941009087105,-1,
868b64767ffffff,PUNO,MELGAR,-14.87294616105098,-70.91502370729106,12889.51525729134,7.677320939642799,-1,
868b6045fffffff,PUNO,CARABAYA,-13.794966681539991,-70.50601738182775,12873.118399202493,7.667554556699991,-1,
86b335377ffffff,MOQUEGUA,GENERAL SANCHEZ CERRO,-16.49963140553744,-70.6288482054973,12858.304178629627,3.7522480299086856,-1,
868e6d427ffffff,APURIMAC,AYMARAES,-13.863946073165383,-73.25204898483074,12838.855567940933,2.2998074921819764,-1,
868e68787ffffff,AYACUCHO,LUCANAS,-14.684443222689575,-74.22159599745281,12838.316425968887,4.133160531079646,-1,
868b65367ffffff,APURIMAC,COTABAMBAS,-14.29395668650182,-72.31210591663395,12831.766031806084,2.2985375527989267,-1,
868b6560fffffff,CUSCO,PARURO,-14.059891475038896,-71.73568725098407,12822.976960860233,6.058541646826748,-1,
868e68a77ffffff,APURIMAC,AYMARAES,-14.365856905563364,-73.3570906340897,12785.13933165222,2.290185372670244,-1,
868b7516fffffff,PUNO,SANDIA,-14.192119477173554,-69.0548279933071,12779.963542302865,7.612069170381806,-1,
868f63b07ffffff,LORETO,LORETO,-4.721142373117631,-74.65682196274078,12763.658821704754,3.6638654534994943,-1,
868f45b8fffffff,LORETO,UCAYALI,-5.994149573860402,-74.8709660337205,12762.172012441231,3.6634386582386167,-1,
868e61aa7ffffff,HUANCAVELICA,CHURCAMPA,-12.526353307768442,-74.45026910368436,12721.338595372332,3.271840570265305,-1,
868f55047ffffff,AMAZONAS,LUYA,-6.450405999032046,-78.14772122517428,12706.52951419718,3.6324576788507983,-1,
868f6e41fffffff,LORETO,REQUENA,-5.698148341213464,-74.61920792426835,12640.250835739653,3.628440638187556,-1,
868e6d4d7ffffff,APURIMAC,AYMARAES,-14.093676220598253,-73.35480549302075,12637.488453934233,2.263736863065464,-1,
868f6e107ffffff,LORETO,REQUENA,-5.436800447087018,-74.14627938728398,12630.334185658,3.62559401934917,-1,
868a6d09fffffff,LORETO,MAYNAS,-3.8565654010160895,-72.85687439237682,12620.244485742274,3.622697725780546,-1,
868e6c047ffffff,APURIMAC,CHINCHEROS,-13.312416200739014,-73.66323125118875,12610.418277890392,2.258887817653989,-1,
868e6d6e7ffffff,APURIMAC,ANTABAMBA,-14.3780808321797,-73.00398524527294,12602.180514365416,2.2574121977926,-1,
868e6048fffffff,LIMA,HUAROCHIRI,-12.062347047404378,-76.29617431228482,12598.57883179123,2.579704291151466,-1,
868f5cac7ffffff,LA LIBERTAD,PATAZ,-8.331754580625502,-77.01352627474596,12592.832371079185,3.283361069839679,-1,
