h3,sectores,ha_agricola,ha_cosechada,clientes,sam_usd,horas_capital,horas_puerto,costo_viaje,region_nat,dep,prov,prospectos,empresas,exportadores,fob_export,centro_lat,centro_lon,km2,sam_por_km2,res,hub,horas_al_hub,cubierto_2h
85b33117fffffff,1,1482.7395089041404,909.5458305765142,33.83697523876125,115953.4542057816,1.0552617962976278,1.0152370098885808,37.989424666714605,COSTA,MOQUEGUA,MARISCAL NIETO,1,0,0,0.0,-17.344896036946277,-70.94167271716088,276.609919399827,419.194851932176,5,Pisco,13.571573643750526,False
858e6d57fffffff,8,5489.86772134604,1682.3120022793423,20.76713480567479,115934.15763553846,1.3510878116142464,10.265631096992909,48.63916121811288,SIERRA,APURIMAC,ABANCAY,0,1,0,0.0,-13.849077457545857,-73.12598517648446,288.0090676096206,402.5364846938792,5,Pisco,9.580189805512418,False
858f5533fffffff,5,3247.648915667833,1682.8943321988318,33.1420313660977,115932.58255028012,2.812029053439491,8.936255305785737,101.23304592382166,SIERRA,AMAZONAS,LUYA,0,2,0,0.0,-6.548668804140794,-78.01118844552714,298.97623199926585,387.7652138935405,5,Picota,7.758495027831486,False
858e6ea7fffffff,6,4769.77411346276,1537.8983091280877,37.294851850458016,115844.30498535233,1.6140267630578835,6.360895366108764,58.10496347008381,SIERRA,AYACUCHO,VICTOR FAJARDO,0,1,0,0.0,-13.765298923401597,-74.28739455411552,291.111055053361,397.9385288687093,5,Pisco,6.56290193825771,False
858f0833fffffff,1,2692.6297751925044,853.3046349677167,29.61893564492261,115800.96902006988,2.595983192499275,3.2830904117305177,93.4553949299739,COSTA,PIURA,SULLANA,1,0,0,0.0,-4.475193895458065,-80.87257624745594,299.86555588428706,386.1762938346793,5,Chiclayo,5.656066975207068,False
858f4cabfffffff,1,8020.709240007476,1961.9455546730512,23.565096704183134,115797.27758744764,7.196652807604816,17.04095772522837,259.0795010737734,SELVA BAJA,UCAYALI,CORONEL PORTILLO,0,0,0,0.0,-7.940813042460247,-74.07352155960643,291.8399192917138,396.7835444461606,5,Satipo,9.845116633805446,False
858e668bfffffff,3,1143.9493738665274,576.5199795353547,23.703420448004398,115761.1018137201,1.9683007075086287,3.5396230783523053,70.85882547031063,SIERRA,LIMA,OYON,0,0,0,0.0,-10.888730491502834,-76.66945118445278,298.11804737033145,388.3062526232036,5,Pisco,6.688954401930459,False
858b6d87fffffff,3,4759.342464758561,1534.5348762857802,37.21328681535897,115590.94978126026,5.242851264031265,10.65731532272373,188.74264550512555,SELVA ALTA,AYACUCHO,HUANTA,0,4,0,0.0,-12.369524983582853,-74.01948343039756,291.5671599042668,396.4470821035312,5,Satipo,7.471054605673999,False
85b33573fffffff,4,1474.767756819415,904.6557781920528,33.65505523441756,115330.0458560714,2.0144340980269915,3.207219375190502,72.5196275289717,SIERRA,MOQUEGUA,GENERAL SANCHEZ CERRO,0,0,0,0.0,-16.519305455144856,-71.16634306600632,278.7421336858747,413.75175087825545,5,Pisco,12.769913315127269,False
858b6d9bfffffff,3,2374.564310527574,1175.057176164171,49.54895043037925,114599.23757628383,3.825944671728754,9.240408730421208,137.73400818223516,SELVA ALTA,CUSCO,LA CONVENCION,0,24,1,27010105.980000004,-12.557435289118576,-73.74429694772222,290.7367626965916,394.168375933517,5,Jauja,7.870997616533714,False
858e6ebbfffffff,5,4697.729347499567,1514.6692166971488,36.73153400577971,114094.54165436311,0.7587904669941888,6.25307100317509,27.316456811790797,SIERRA,AYACUCHO,CANGALLO,0,0,0,0.0,-13.577893073159942,-74.56416444962613,291.9653837915921,390.78105826341726,5,Pisco,5.202431899488147,False
858f4eaffffffff,1,7899.306491262781,1932.2492303085337,23.20841159957264,114044.5513165405,2.02268864508096,11.866993562704504,72.81679122291456,SELVA BAJA,UCAYALI,PADRE ABAD,0,0,0,0.0,-8.52441034543772,-74.99134713539115,294.37388259169165,387.413959120568,5,Satipo,9.190941736625973,False
858f092bfffffff,1,2647.646037531353,839.0491171100164,29.12411439503189,113866.36944782324,0.8254737714355358,2.298772947187328,29.717055771679288,COSTA,PIURA,MORROPON,0,0,0,0.0,-5.401952958487263,-80.09149955043215,300.4221729397617,379.0211898595608,5,Chiclayo,7.504527038854576,False
858f5c27fffffff,3,2786.958069734605,1295.7181045523598,38.25374647069646,113847.6758148124,1.7902196487650983,6.553117193931521,64.44790735554356,SIERRA,HUANUCO,MARAÑON,0,0,0,0.0,-8.665242606250262,-77.04534965680116,298.6999383806745,381.1439548063134,5,Picota,7.1737032065721,False
858e60b3fffffff,1,1354.889010031531,665.555152853678,38.90727309483228,113758.1574701,2.1183426449437284,6.428774191715018,76.26033521797422,SIERRA,JUNIN,JAUJA,0,19,0,0.0,-11.682608304253286,-75.27413134264731,294.9436366446004,385.6945644403771,5,Jauja,1.0081823310028994,True
85b3260ffffffff,5,4324.442365018173,1444.3357202569314,67.75075673255608,113747.28495301728,0.9142818666168652,6.542837284137437,32.91414719820715,SIERRA,PUNO,PUNO,2,47,0,0.0,-15.926667228237507,-69.9708598681389,275.7619483572881,412.48361360444767,5,Pisco,17.25075897698116,False
858f5c8bfffffff,1,1309.9524809779282,584.5785380612235,29.653597310700004,113731.86566756829,1.7615085394180787,6.789653290781587,63.41430741905084,SIERRA,LA LIBERTAD,PATAZ,0,0,0,0.0,-7.871967679760742,-77.40858431658425,298.9762319992833,380.4043716352708,5,Otuzco,6.481935033087211,False
858f5ed3fffffff,1,1303.7732625518668,581.8210040847458,29.51371738561716,113195.37747416543,0.6304587644765876,0.9656662421735582,22.69651552115716,COSTA,LA LIBERTAD,TRUJILLO,0,0,0,0.0,-8.157123888954706,-78.75841868671777,301.2175553649501,375.79276326381387,5,Otuzco,0.9230514414375648,True
858e6097fffffff,1,1344.973365158237,660.6843416725212,38.62253338542416,112925.62765949393,3.105989600242565,6.859472186623803,111.81562560873236,SIERRA,JUNIN,JAUJA,0,0,0,0.0,-11.420841925697356,-75.39693212981317,295.32700290229127,382.3748812324327,5,Jauja,3.4024210076750023,False
85b336b7fffffff,1,635.2863004474524,507.433794217582,21.754322380081994,112774.5538965746,3.0977221244299646,4.03788428891724,111.51799647947873,COSTA,AREQUIPA,CASTILLA,12,2,0,0.0,-16.03991932349511,-72.43457215635755,283.2896445339876,398.0892209529548,5,Pisco,11.125130765018184,False
858e657bfffffff,3,1342.99852501048,659.7142511140545,38.565823467210535,112759.81763753382,1.4649157016430765,7.175439496887756,52.73696525915076,SIERRA,JUNIN,CONCEPCION,0,0,0,0.0,-11.706985871879157,-74.98348210344517,294.2691279622165,383.1860257254439,5,Jauja,2.045960739676957,False
858f5847fffffff,3,5279.148862547125,943.426529358565,71.58098918520044,112410.20541426828,1.3648079503913535,2.548567605294345,49.133086214088735,SIERRA,ANCASH,HUARAZ,0,5,0,0.0,-9.512641982676191,-77.8622520011585,300.298331524,374.328438136142,5,Otuzco,4.872170798043953,False
858f4247fffffff,1,1293.055626544862,577.0381588446116,29.27110059845163,112264.8576604142,1.684430870713168,10.554197487792232,60.63951134567405,SIERRA,LA LIBERTAD,BOLIVAR,0,0,0,0.0,-7.176131291845024,-77.63384749084629,298.895602374665,375.5988939565944,5,Otuzco,10.275131435962976,False
858f5eb3fffffff,5,5231.167319845223,934.8518402404628,70.93039827013823,111388.52271282388,1.4522637560721765,3.176732799616709,52.28149521859834,SIERRA,ANCASH,PALLASCA,1,9,0,0.0,-8.481421558090538,-78.05502443675711,300.333153321202,370.8832058034413,5,Otuzco,4.937863927785656,False
858b66c3fffffff,3,4229.9010840418005,1412.7595451973175,66.26958464423585,111260.53333989972,1.560448315556337,8.104749579460467,56.17613936002813,SIERRA,PUNO,HUANCANE,0,0,0,0.0,-14.966617257001795,-69.61562335742033,275.8123014962859,403.39220816587823,5,Chiclayo,inf,False
85b32607fffffff,5,4218.010488573191,1408.788163381858,66.08329545987401,110947.77094492136,1.4782527483528909,7.106808165873457,53.21709894070408,SIERRA,PUNO,PUNO,0,14,0,0.0,-15.852430177569817,-69.82254333678797,275.3630224296612,402.91455971820585,5,Pisco,17.37314364400845,False
