ruc,razon_social,fob,tn,semanas,lineas,rubro,pct,pct_acum
20554556192,AGROVISION PERU S.A.C.,2522572.551,4209.260077999999,17,72,Fertilizantes,0.04566716066396842,95.20394571010108
20611548355,QUIMAS PERU SOCIEDAD ANONIMA CERRADA,2503379.821,471.18302,20,74,Proteccion de cultivos,0.045319706837856376,95.24926541693894
20606302968,AGROBIOSOLUTION PERU S.A.C.,2467662.504,533.1846400000001,69,168,Proteccion de cultivos,0.04467310166755978,95.2939385186065
20555978805,COCK BRAND S.A.C.,2397609.95,1834.1316850000003,17,35,Proteccion de cultivos,0.04340491168540401,95.3373434302919
20608770985,PHYTOMA LATAM S.A.C.,2306327.528,2631.239222,30,96,Fertilizantes,0.04175238873631473,95.37909581902821
20610799869,VIRU S.A.,2281803.898,29.062883,11,23,Semillas,0.04130842745130442,95.4204042464795
20611385685,COCK BRAND ENTERPRISE S.A.C.,2266583.2800000003,1902.140955,13,22,Proteccion de cultivos,0.04103288239023756,95.46143712886975
20325117835,SOCIEDAD AGRICOLA DROKASA S.A.,2229042.4699999997,40.877199999999995,8,16,Semillas,0.04035326578176938,95.50179039465152
20512100261,BIOQUIMICA AGRICOLA DEL PERU S.A.C.,2227250.57,382.07380000000006,36,105,Proteccion de cultivos,0.04032082628457382,95.54211122093609
20100311331,PISAPIG'S S A,2178760.989,382.35571500000003,60,154,Proteccion de cultivos,0.03944299960514782,95.58155422054124
20127508543,IMPORTACIONES  SIU S.R.LTDA,2169746.722,2475.7612030000005,43,47,Proteccion de cultivos,0.03927981064981185,95.62083403119105
20517521044,DESARROLLO TECNICO VEGETAL SAC   -  DT -,2145289.47,557.21374,76,296,Fertilizantes,0.03883705103283258,95.65967108222388
20602552498,FARM CROP S.A.C.,2099918.602,304.875298,33,199,Proteccion de cultivos,0.03801568368797729,95.69768676591185
20478013206,AGRO MICRO BIOTECH S.A.C.,2095340.636,544.468293,16,61,Fertilizantes,0.037932806900646314,95.7356195728125
20503455219,ASOCIACION DE PRODUCTORES DE UVA DE MESA,2039544.4300000002,19.0076,11,17,Proteccion de cultivos,0.036922705406109806,95.77254227821861
20606355778,CORPORACION INKAL S.A.C.,2033025.636,491.86,12,28,Fertilizantes,0.03680469301720336,95.80934697123581
20552690410,POWER SEEDS S.A.C,2023597.666,8.629379,47,153,Semillas,0.03663401462757513,95.84598098586339
20602915027,DVA PERU S.A.C,1980202.3059999999,339.423301,39,190,Proteccion de cultivos,0.03584841071049249,95.88182939657388
20327514581,PLATINUM CORP S.R.L.,1919615.798,223.616586,31,61,Proteccion de cultivos,0.03475158842333647,95.91658098499721
20600807685,AGROBERRIES PERU S.A.C.,1893722.958,892.3693820000001,29,66,Fertilizantes,0.034282839770752555,95.95086382476796
20559660796,CONSORCIO OMNICROP S.A.C.,1850919.866,411.163617,28,147,Proteccion de cultivos,0.033507957923051584,95.98437178269101
20546407731,SOLIDARIDAD Y DESARROLLO INVERSIONES SOC,1844768.43,257.5,11,41,Semillas,0.033396595965983294,96.017768378657
20501549801,FERCO MEDICAL S.A.C.,1827984.02,497.23209799999995,90,225,Proteccion de cultivos,0.033092740939963894,96.05086111959696
20492612767,CORPORACION GREEN VALLEY S.A.C,1819225.658,322.24726,15,164,Proteccion de cultivos,0.03293418473730934,96.08379530433427
20552186681,A Y V SEEDS CO. S.A.C.,1772228.832,11.151944,36,159,Semillas,0.03208338201102589,96.1158786863453
20133417452,AGROPECUARIA CHIMU SRL,1733351.339,307.66809,16,145,Proteccion de cultivos,0.03137956688454341,96.14725825322984
20608764331,NUTRICAMPO S.A.C.,1727516.8,2701.32,20,28,Fertilizantes,0.031273941843230894,96.17853219507306
20608519221,INAGROUP BIOTECH PERU S.A.C.,1711746.069,433.05515099999997,27,270,Fertilizantes,0.030988437861956014,96.20952063293501
20605902872,REPRESENTACIONES Y PRODUCTOS PARA EL CAM,1707239.648,379.016497,28,214,Fertilizantes,0.030906856282966386,96.24042748921798
20102306598,VISTONY COMPAÑIA INDUSTRIAL DEL PERU SOC,1663721.2,3005.92,14,17,Fertilizantes,0.03011902405357234,96.27054651327155
20100030838,G.W. YICHANG & CIA S.A.,1639006.167,193.717804,14,51,Proteccion de cultivos,0.029671597721917832,96.30021811099347
20504930913,UPL PERU S.A.C.,1617001.964,62.15836,28,41,Proteccion de cultivos,0.029273246652377644,96.32949135764585
20572118496,AGRONEGOCIOS PAMPA BONITA S.A.C.,1612571.97,331.58419999999995,16,60,Proteccion de cultivos,0.029193048662568305,96.35868440630841
20307548322,VEOLIA WATER TECHNOLOGIES & SOLUTIONS PE,1575958.864,583.4869839999999,72,128,Proteccion de cultivos,0.028530226658322645,96.38721463296673
20525119689,NOVALTY S.A.C,1570736.782,195.72985,14,42,Fertilizantes,0.028435689176100426,96.41565032214284
