ruc,razon_social,fob,tn,semanas,lineas,rubro,pct,pct_acum,distrito,provincia,dep,fob_anual
20521911221,AKZO NOBEL PERU S.A.C.,386958.0,1148.0,11,27,Fertilizantes,0.0070052586393214,98.8217066083461,SANTIAGO DE SURCO,LIMA,LIMA,81796.0
20514606774,C & M SERVICENTROS SOCIEDAD ANONIMA CERR,383550.0,1030.139999,4,8,Fertilizantes,0.006943562224096,98.8286501705702,SANTIAGO DE SURCO,LIMA,LIMA,81075.60975609756
20600708997,TRAPANI CULTIVARES PERU SAC,383469.518,144.05011499999998,7,10,Proteccion de cultivos,0.0069421052255953,98.8355922757958,SAN ISIDRO,LIMA,LIMA,81058.597300813
20507165461,DRESDEN S.A.,382700.38,199.691362,32,69,Proteccion de cultivos,0.0069281812064012,98.8425204570022,ATE,LIMA,LIMA,80896.01528455285
20603097468,BIOTECNAGRO S.A.C.,382348.9,45.8373,14,33,Fertilizantes,0.0069218182204788,98.84944227522269,COMAS,LIMA,LIMA,80821.718699187
20601417601,ACTIVA SEMILLAS E.I.R.L.,378081.54,46.75,3,4,Semillas,0.0068445644603625,98.85628683968304,AREQUIPA,AREQUIPA,AREQUIPA,79919.67512195121
20331066703,INRETAIL PHARMA S.A.,376254.306,177.735,5,8,Proteccion de cultivos,0.0068114852973407,98.86309832498036,LA VICTORIA,LIMA,LIMA,79533.43053658537
20537135485,SIGONSA S.A.C.,373294.039,231.04,17,41,Proteccion de cultivos,0.0067578943753894,98.86985621935575,LURIN,LIMA,LIMA,78907.6830406504
20384423508,ACCEAUTO S.A. C.,372097.769,137.504745,88,196,Proteccion de cultivos,0.006736237811234,98.876592457167,LURIGANCHO,LIMA,LIMA,78654.8129593496
20537381338,COMERCIALIZADORA AGROTECNOLOGICA S.A. CO,370774.0,44.635,6,7,Proteccion de cultivos,0.0067122730806334,98.88330473024764,SANTIAGO DE SURCO,LIMA,LIMA,78374.9918699187
20604709611,SOLENIS COLOMBIA S.A.S SUCURSAL DEL PERU,360044.227,171.855,28,33,Proteccion de cultivos,0.0065180276198697,98.8898227578675,SANTIAGO DE SURCO,LIMA,LIMA,76106.90977235773
20614843188,HOLDING UGARTE S.A.C,355258.0,511.0,10,12,Fertilizantes,0.0064313805986387,98.89625413846616,LURIGANCHO,LIMA,LIMA,75095.18699186992
20504913661,CHEMICAL IMPORT S.A.C.,354022.004,381.6,11,16,Fertilizantes,0.0064090048584882,98.90266314332465,LIMA,LIMA,LIMA,74833.91954471545
20126500603,IMPORTACIONES CARMELITA DEL NORTE SOCIED,349158.57,201.375,10,17,Proteccion de cultivos,0.0063209601274185,98.90898410345206,LIMA,LIMA,LIMA,73805.87658536586
20516343819,GLOBALVET SAC,348916.43,32.101741000000004,33,205,Proteccion de cultivos,0.0063165765681513,98.9153006800202,SAN MIGUEL,LIMA,LIMA,73754.6925203252
20600516885,METAS PERU SOCIEDAD ANONIMA CERRADA - ME,347170.29,14.467399000000002,52,1831,Proteccion de cultivos,0.006284965482916,98.92158564550311,SAN ISIDRO,LIMA,LIMA,73385.58975609756
20609650193,RODOAGRO S.A.C.,346749.248,50.13876700000001,13,31,Fertilizantes,0.0062773431877108,98.92786298869083,SAN ISIDRO,LIMA,LIMA,73296.58900813007
20216528141,PROSEMEDIC SOCIEDAD ANONIMA CERRADA,342281.29600000003,59.341151,17,76,Proteccion de cultivos,0.0061964580287321,98.93405944671956,LIMA,LIMA,LIMA,72352.14386991871
20296570509,NEW POWER INTERNATIONAL S.A.C.,342093.317,121.679795,17,96,Proteccion de cultivos,0.0061930549681577,98.94025250168772,ATE,LIMA,LIMA,72312.40847154471
20603481519,AGROINSUMOS CAMANA E.I.R.L.,338515.0,462.91,8,12,Fertilizantes,0.0061282752347539,98.94638077692248,CAMANA,CAMANA,AREQUIPA,71556.01626016259
20607938068,CROPCHAIN S.A.C.,337515.99,94.6,3,21,Proteccion de cultivos,0.0061101897489046,98.9524909666714,MIRAFLORES,LIMA,LIMA,71344.84341463415
20480370971,BIONOVA GROUP EMPRESA INDIVIDUAL DE RESP,334619.66000000003,13.66655,14,37,Fertilizantes,0.0060577563045648,98.95854872297596,MIRAFLORES,LIMA,LIMA,70732.61105691058
20385968702,MIRAGE HOLDING SOCIEDAD ANONIMA CERRADA,334450.0,850.0,3,3,Fertilizantes,0.0060546848803256,98.96460340785627,SANTIAGO DE SURCO,LIMA,LIMA,70696.74796747968
20602243711,YOUYI GROUP PERU S.A.C.,328032.26,522.5961070000001,19,21,Proteccion de cultivos,0.0059385019132338,98.97054190976952,LIMA,LIMA,LIMA,69340.15252032521
20602855831,BIOSCIENCE PERU SOCIEDAD ANONIMA CERRADA,327761.243,91.621859,6,13,Fertilizantes,0.0059335955818473,98.97647550535136,CAYMA,AREQUIPA,AREQUIPA,69282.86437398374
20601438403,ENLASA PERU S.A.C.,325696.18,536.231238,16,44,Fertilizantes,0.0058962109033512,98.98237171625472,PIURA,PIURA,PIURA,68846.34699186993
20479793078,AGRICOLA SAN ISIDRO SOCIEDAD ANONIMA CER,324850.0,12.5374,4,4,Semillas,0.0058808921613807,98.9882526084161,MOTUPE,LAMBAYEQUE,LAMBAYEQUE,68667.47967479675
20603713037,GRUINDAG PERU SAC.,323659.216,48.3226,8,42,Fertilizantes,0.0058593349125228,98.99411194332863,SAN ISIDRO,LIMA,LIMA,68415.76923577237
20601289408,PW SOLUTIONS S.A.C.,322924.091,19.367961000000005,13,22,Proteccion de cultivos,0.0058460266445525,98.99995796997318,MIRAFLORES,LIMA,LIMA,68260.3769593496
20614387484,IMPOSEM E.I.R.L.,321820.032,43.83,2,3,Semillas,0.0058260394137728,99.00578400938696,EL TAMBO,HUANCAYO,JUNIN,68026.99863414634
20477349243,FORESTALES DAXSA S.A.C.,321005.2,91.288,4,5,Proteccion de cultivos,0.0058112881774433,99.0115952975644,MOCHE,TRUJILLO,LA LIBERTAD,67854.75772357723
20602677916,AGROBUSINESS INTERNATIONAL PERU S.A.C.,320431.5,73.17,6,25,Fertilizantes,0.0058009022521455,99.01739619981656,VICTOR LARCO HERRERA,TRUJILLO,LA LIBERTAD,67733.48780487805
20610792953,PANTHER ENERGY TRADER S.A.C.,319680.0,138.66065,4,19,Proteccion de cultivos,0.0057872975408656,99.0231834973574,LIMA,LIMA,LIMA,67574.63414634146
20600543025,COMERCIAL BALBOAS PERU S.A.C.,319317.075,211.46062,11,42,Proteccion de cultivos,0.0057807273614361,99.02896422471883,MAGDALENA DEL MAR,LIMA,LIMA,67497.91829268292
