ruc,razon_social,fob,tn,semanas,destinos,distrito,provincia,dep,fob_anual
20473558859,ACUIFERO CASMA S.A.,55166.09,51.936,4,1,SAN BORJA,LIMA,LIMA,286863.66799999995
20600201884,,54617.6,43.52,2,1,VENTANILLA,CALLAO,CALLAO,284011.52
20612664952,,54414.0,13.4955,3,1,LA MOLINA,LIMA,LIMA,282952.8
20615872645,,53579.626,20.008331,1,1,ATE,LIMA,LIMA,278614.0552
20610997806,,53576.5,37.45,2,1,SAN MIGUEL,LIMA,LIMA,278597.8
20533960546,AGROCOMERCIALIZADORA FORTALEZA EXPORT S.,53058.7,18.069,1,1,MAGDALENA DEL MAR,LIMA,LIMA,275905.24
20615146855,,52757.4,22.7144,1,1,CARABAYLLO,LIMA,LIMA,274338.48
20372983796,KEYPERU S.A.,52500.0,135.46961199999998,3,1,MIRAFLORES,LIMA,LIMA,273000.0
20600410092,KAIPI FOODS S.A.C.,52488.0,6.4,3,2,CASTILLA,PIURA,PIURA,272937.60000000003
20609962161,JCCF S.A.C.,52161.404,21.706,2,1,RICARDO PALMA,HUAROCHIRI,LIMA,271239.3008
20608065777,,51985.101,16.999704,3,1,CIUDAD NUEVA,TACNA,TACNA,270322.52520000003
20611233036,,51799.6,33.88,2,1,PAUCARPATA,AREQUIPA,AREQUIPA,269357.92
20615444121,,51060.0,204.24,3,1,SULLANA,SULLANA,PIURA,265512.0
20524231639,SIAGRO EXPORT S.R.L.,50837.15,6.91,4,6,SAN JUAN DE LURIGANCHO,LIMA,LIMA,264353.18
20606926015,,50750.0,20.3,1,1,PERENE,CHANCHAMAYO,JUNIN,263900.0
20600675983,INNVITA FOODS S.A.C.,50730.72,10.0848,1,1,SAN LUIS,LIMA,LIMA,263799.744
20613347454,COOPERATIVAAGRARIADELVALLEDELENE,50585.992,93.6,2,1,PICHANAQUI,CHANCHAMAYO,JUNIN,263047.15839999996
20513998385,INDUFRUT S.A.C.,50290.04,17.658,1,1,VILLA EL SALVADOR,LIMA,LIMA,261508.20799999998
20614756901,SCN AGROFRESH PERU S.A.C.,49884.0,13.077279999999998,4,1,SANTIAGO DE SURCO,LIMA,LIMA,259396.8
20609123908,COOLWAY PERU S.A.C.,49571.88,12.2022,2,2,CHORRILLOS,LIMA,LIMA,257773.776
20606449659,,48920.0,49.92,2,1,TACNA,TACNA,TACNA,254384.0
20600643445,AGROPROCESOS CADIZA EXPORT S.A.C.,48710.0,49.1,2,1,CALLAO,CALLAO,CALLAO,253292.0
20553266573,EARTHFRUCTIFERA S.A.C.,48688.96,21.312,1,1,SANTIAGO DE SURCO,LIMA,LIMA,253182.59199999998
20476754136,RASIL SRL,48504.91,6.711991,2,2,LURIGANCHO,LIMA,LIMA,252225.532
20614506661,,48500.55,27.435640000000003,4,1,CIUDAD NUEVA,TACNA,TACNA,252202.86000000002
20606927755,,48480.0,50.56,2,1,PERENE,CHANCHAMAYO,JUNIN,252096.0
20305948277,APIMAS S.A.C.,48400.0,6.66,1,1,PACHACAMAC,LIMA,LIMA,251680.0
20614606895,AB GLOBAL CONSULTING S.A.C.,48248.51,5.868,5,3,SAN MIGUEL,LIMA,LIMA,250892.25200000004
20610376488,INCA INVEST PERU S.A.C.,48208.81,10.7205,10,3,BARRANCO,LIMA,LIMA,250685.81199999998
20608572849,,48084.490000000005,17.578858,2,1,SANTIAGO DE SURCO,LIMA,LIMA,250039.34800000003
20505964862,CALLIZO AROMAS SOCIEDAD ANONIMA CERRADA,47457.686,12.66755,2,3,ATE,LIMA,LIMA,246779.9672
20610365605,AGROEXPORTACIONES SMR S.A.C.,47089.07000000001,23.256,2,2,LA VICTORIA,LIMA,LIMA,244863.16400000005
20251357413,E & M S.R.L.,46962.586,21.664057,3,1,SANTIAGO DE SURCO,LIMA,LIMA,244205.4472
20604176981,,46654.1,15.62867,2,1,SANTA ANITA,LIMA,LIMA,242601.32
20610323619,,46500.0,465.0,5,1,TACNA,TACNA,TACNA,241800.0
20603492979,OLIVOS BELLATERRA S.A.C.,46360.8,33.84,2,1,BELLA UNION,CARAVELI,AREQUIPA,241076.16
20501962598,AGROCONDOR S.R.L.,46248.4,9.16,2,2,SANTIAGO DE SURCO,LIMA,LIMA,240491.68
20108236842,TENMINSTE S.A.C.,46200.0,15.0,1,1,MIRAFLORES,LIMA,LIMA,240240.0
20614932245,,46019.3,23.754,1,1,MIRAFLORES,LIMA,LIMA,239300.36000000002
20506483205,CPX PERU S.A.C.,45958.6,4.77,2,1,SAN ISIDRO,LIMA,LIMA,238984.71999999997
20615219305,,45600.0,23.94,1,1,LURIGANCHO,LIMA,LIMA,237120.0
20603148879,HAMILLTON FARM PERU S.A.C.,45184.02,26.792,2,1,PERENE,CHANCHAMAYO,JUNIN,234956.904
20604117233,SURTIDORA DEL PACIFICO S.A.C.,45120.58,16.40558,1,1,MAGDALENA VIEJA,LIMA,LIMA,234627.016
20614348942,AGRONEGOCIOS CARHUAS E.I.R.L.,44816.25,115.0,4,1,SUBTANJALLA,ICA,ICA,233044.5
20548920478,AMAZON ANDES EXPORT S.A.C.,43680.0,2.6490120000000004,4,5,SANTIAGO DE SURCO,LIMA,LIMA,227136.0
20553040338,J & C MISKY FOODS S.A.C.,43463.262,14.03116,1,1,LA VICTORIA,LIMA,LIMA,226008.96240000002
