cod_se,ubigeo,dep,prov,dist,sector,region_nat,lat,lon,alt_m,piso,ha_agricola,s_sam_usd,s_clientes_sam
1031101,010311,AMAZONAS,BONGARA,VALERA,NUEVO HORIZONTE,SELVA ALTA,-6.04123468399996,-77.92983241399997,1613.886884619369,ceja de selva,159.90761710866914,5708.284208749575,1.6318461137612386
1031102,010311,AMAZONAS,BONGARA,VALERA,SAN PABLO,SELVA ALTA,-6.038266631999932,-77.91020246299996,2200.708337018964,ceja de selva,256.0931176370604,9141.855315020057,2.613412458601265
1031103,010311,AMAZONAS,BONGARA,VALERA,LA COCA,SELVA ALTA,-6.087802127999964,-77.86063454399994,2282.6410434713825,ceja de selva,657.9929240604741,23488.62853312906,6.714772037912303
1031104,010311,AMAZONAS,BONGARA,VALERA,MATIAZA RIMACHI,SELVA ALTA,-6.053698406999956,-77.91870663299994,1638.9850893118157,ceja de selva,140.76190834069234,5024.83241951248,1.4364654870397762
1031201,010312,AMAZONAS,BONGARA,YAMBRASBAMBA,EL PROGRESO,SELVA ALTA,-5.371159998999929,-77.81116146099998,1611.1780612734226,ceja de selva,104.6738660950204,3736.583583087985,1.0681895252272071
1031202,010312,AMAZONAS,BONGARA,YAMBRASBAMBA,AGUA DULCE,SELVA ALTA,-5.55660218099996,-77.93567613199997,1743.4915397904624,ceja de selva,732.1437571652516,26135.619572899108,7.471476133827627
1031203,010312,AMAZONAS,BONGARA,YAMBRASBAMBA,LA ESPERANZA,SELVA ALTA,-5.62165028499993,-77.86384730699996,2122.8846187632093,ceja de selva,2845.6530655182773,101582.38082204008,29.039691667239577
1031204,010312,AMAZONAS,BONGARA,YAMBRASBAMBA,BUENOS AIRES,SELVA ALTA,-5.657878441999969,-77.81499386099995,2029.4033591367906,ceja de selva,2367.7929977234444,84524.02470175891,24.16316290236685
1031205,010312,AMAZONAS,BONGARA,YAMBRASBAMBA,VILCANIZA,SELVA ALTA,-5.741981360999944,-77.83651312699999,2548.076341840712,ceja de selva,3765.4113700965368,134415.3496375433,38.425761212042325
1031206,010312,AMAZONAS,BONGARA,YAMBRASBAMBA,YAMBRASBAMBA,SELVA ALTA,-5.718945175999977,-78.00485021299994,1925.7531529849425,ceja de selva,5088.487586192908,181645.7143185614,51.92766200004261
1040101,010401,AMAZONAS,CONDORCANQUI,NIEVA,YUMINGKUS,SELVA BAJA,-4.520456189999948,-77.92769153399996,239.66926190410138,selva baja,7006.122810432496,250100.28244104117,71.49699612476071
1040102,010401,AMAZONAS,CONDORCANQUI,NIEVA,NUEVO SEASME,SELVA BAJA,-4.6162658089999695,-77.76583097499997,232.53591663413772,selva baja,10273.302229100676,366730.0529294672,104.83833491596536
1040103,010401,AMAZONAS,CONDORCANQUI,NIEVA,JOSE OLAYA,SELVA BAJA,-5.108674577999977,-77.90281811099999,486.3834514215478,selva alta,8184.259590848103,292156.68788933964,83.51980004969117
1040104,010401,AMAZONAS,CONDORCANQUI,NIEVA,PUTUYACAT,SELVA BAJA,-4.997367719999943,-78.05929892899997,292.74397177506546,selva baja,13035.047920364095,465317.1596794087,133.02175766325317
1040105,010401,AMAZONAS,CONDORCANQUI,NIEVA,URAKUSA,SELVA BAJA,-4.742912774999979,-78.00871995299997,300.94671620494046,selva baja,10949.752792083596,390877.5709557728,111.74146587566896
