dep,partida4,producto,fob_usd,kg
Puno,0703,Cebolla y ajo,14572.8,28800.0
Lima,1517,Margarina,13937.34,2395.2
Arequipa,1102,Harinas de cereales,13887.68,828.7
Callao,1006,Arroz,13690.0,6171.7
Arequipa,0701,Papa,13305.6,28800.0
San Martin,2006,Frutas confitadas,13115.0,6100.0
Arequipa,0711,Hortalizas conservadas provisionalmente,13056.0,16320.0
Arequipa,2202,Bebidas no alcohólicas,12997.5,46688.9
Cusco,0801,Coco y castaña,12000.0,10000.0
Lima,1103,Sémola y pellets de cereal,11480.99,6793.2
Apurimac,1207,Semillas oleaginosas,11300.0,2000.0
Ica,2005,Hortalizas preparadas,11286.0,736.6
Lima,2004,Hortalizas congeladas preparadas,10443.1,2760.7
Piura,1106,Harinas de legumbres y frutas,10438.98,400.0
Arequipa,1404,"Productos vegetales diversos (tara, achiote)",10436.17,1080.0
Huanuco,1702,Otros azúcares,10411.7,900.0
Cusco,1302,Extractos vegetales (tara y otros),10333.08,130.0
Tumbes,0801,Coco y castaña,10296.0,30820.0
Moquegua,0806,Uva,10080.0,8000.0
Lambayeque,2202,Bebidas no alcohólicas,9775.0,3098.2
Tacna,3302,Mezclas odoríferas,9621.9,4547.2
Callao,2104,Sopas y caldos,9600.9,3129.2
Ica,3302,Mezclas odoríferas,9590.4,2332.8
Huanuco,1106,Harinas de legumbres y frutas,9588.23,476.0
Arequipa,3301,Aceites esenciales,9302.05,68.1
Lima,0401,Leche y nata sin concentrar,8960.0,2915.1
Piura,1302,Extractos vegetales (tara y otros),8604.06,390.0
La Libertad,0714,Raíces y tubérculos,8509.11,11068.0
Tacna,2007,Mermeladas y purés,8070.89,2830.1
Lima,0907,Clavo de olor,7940.62,1126.1
Cusco,0813,Frutas secas,7850.3,300.0
Moquegua,1806,Chocolate,7825.29,2604.4
Lima,2102,Levaduras,7574.15,3626.1
Lambayeque,2203,Cerveza,7410.0,2061.3
Lima,0905,Vainilla,7275.0,15.0
Lima,0409,Miel de abeja,7227.2,1061.7
Arequipa,1204,Linaza,7171.2,660.5
Lima,0807,Melón y sandía,7094.0,68335.0
Ucayali,1803,Pasta de cacao,6920.89,429.2
Ica,1006,Arroz,6920.32,5140.0
Lima,1206,Girasol,6567.43,2818.4
Tacna,0402,Leche en polvo,6478.3,2457.1
Tacna,1104,Granos aplastados y copos,6156.26,36445.1
Loreto,1106,Harinas de legumbres y frutas,6000.0,200.0
Ayacucho,1302,Extractos vegetales (tara y otros),5706.93,100.0
Junin,1106,Harinas de legumbres y frutas,5636.41,600.0
Tacna,1704,Confitería sin cacao,5606.39,5595.3
Callao,1105,Harina y copos de papa,5542.8,2360.8
Tacna,0909,Semillas de anís e hinojo,5239.82,2353.1
Tacna,1005,Maíz,5100.5,29680.0
Ica,2106,Preparaciones alimenticias,5068.8,299.5
Tumbes,1207,Semillas oleaginosas,5035.0,19900.0
Callao,2308,Residuos vegetales para forraje,4953.6,1344.0
Lima,1301,Gomas y resinas,4857.58,165.4
Ica,0904,Pimienta y ají,4758.78,414.7
Arequipa,0902,Té,4536.0,270.7
Lima,1201,Soya,4417.43,1939.5
Lambayeque,1806,Chocolate,4389.0,1391.1
Moquegua,0804,"Palta, mango, dátil y piña",4183.2,7200.0
Tacna,2209,Vinagre,4055.0,2767.9
Callao,0712,Hortalizas secas,4001.0,1706.0
Ica,0713,Legumbres secas,3551.04,1296.0
Tacna,0801,Coco y castaña,3536.0,35360.0
Tacna,0401,Leche y nata sin concentrar,3439.09,1575.3
Callao,1803,Pasta de cacao,3400.0,200.0
Tacna,1507,Aceite de soya,3351.12,2518.2
Tacna,2001,Conservas en vinagre,3264.34,1779.6
Loreto,0811,Frutas congeladas,3100.0,500.0
Lima,1512,Aceite de girasol y cártamo,3037.16,161.6
Amazonas,1806,Chocolate,2975.6,110.1
San Martin,1806,Chocolate,2958.2,133.0
Lambayeque,1005,Maíz,2937.0,930.9
Tacna,1101,Harina de trigo,2912.93,1501.5
Lambayeque,2208,Pisco y licores,2871.0,492.6
Loreto,0106,Otros animales vivos,2850.0,28.4
Ayacucho,0804,"Palta, mango, dátil y piña",2760.0,900.0
Lima,0707,Pepino,2740.97,770.9
Tacna,1512,Aceite de girasol y cártamo,2692.9,1320.0
Tacna,0603,Flores cortadas,2624.0,5428.0
Ica,1704,Confitería sin cacao,2613.6,198.0
Lambayeque,1904,Cereales inflados y hojuelas,2545.32,1037.6
Arequipa,1207,Semillas oleaginosas,2508.0,240.0
Ica,0712,Hortalizas secas,2400.0,960.0
La Libertad,0807,Melón y sandía,2250.0,300.0
Tacna,2008,Frutas preparadas,2209.56,8113.6
Lima,1003,Cebada,2201.67,2026.7
Lima,0405,Mantequilla,2122.3,668.3
Lambayeque,0904,Pimienta y ají,2080.0,659.3
Tumbes,1211,Plantas para perfumería,2000.0,2000.0
Lima,1703,Melaza,1965.6,726.1
Lima,0808,Manzana y pera,1940.34,1248.7
