codigo,aduana,partida4,producto,fob_usd,kg
235,Aérea del Callao,0712,Hortalizas secas,18679.91,1487.2
118,Marítima del Callao,1204,Linaza,18587.88,4766.6
019,Tumbes,0809,"Melocotón, cereza y ciruela",18360.0,30600.0
370,Chancay,0803,Banano y plátano,18316.8,19591.2
235,Aérea del Callao,2005,Hortalizas preparadas,18016.25,2130.8
118,Marítima del Callao,0906,Canela,18009.73,1486.4
019,Tumbes,2007,Mermeladas y purés,17640.0,2640.0
019,Tumbes,1214,Forrajes,17550.0,63800.0
118,Marítima del Callao,0701,Papa,17137.69,5165.6
235,Aérea del Callao,0714,Raíces y tubérculos,17002.81,6648.1
262,Desaguadero,0806,Uva,16128.0,12800.0
235,Aérea del Callao,2009,Jugos de fruta,15523.02,1156.6
262,Desaguadero,0703,Cebolla y ajo,14572.8,28800.0
118,Marítima del Callao,0909,Semillas de anís e hinojo,14369.1,2030.4
235,Aérea del Callao,1801,Cacao en grano,13742.98,1670.8
262,Desaguadero,0701,Papa,13305.6,28800.0
145,Mollendo Matarani,0703,Cebolla y ajo,12880.75,26500.0
145,Mollendo Matarani,0910,"Jengibre, cúrcuma y especias",12700.8,757.9
262,Desaguadero,0804,"Palta, mango, dátil y piña",12543.2,22400.0
127,Pisco,2005,Hortalizas preparadas,11286.0,736.6
118,Marítima del Callao,2004,Hortalizas congeladas preparadas,10443.1,2760.7
235,Aérea del Callao,0811,Frutas congeladas,8672.26,2747.7
172,Tacna,0801,Coco y castaña,8241.0,96360.0
172,Tacna,2007,Mermeladas y purés,8070.89,2830.1
235,Aérea del Callao,0909,Semillas de anís e hinojo,7962.64,1066.4
019,Tumbes,1207,Semillas oleaginosas,7585.0,27900.0
118,Marítima del Callao,2102,Levaduras,7574.15,3626.1
145,Mollendo Matarani,1204,Linaza,7171.2,660.5
235,Aérea del Callao,0906,Canela,7063.08,1302.1
235,Aérea del Callao,1206,Girasol,6567.43,2818.4
235,Aérea del Callao,0904,Pimienta y ají,6270.96,987.9
019,Tumbes,0910,"Jengibre, cúrcuma y especias",5655.0,7250.0
172,Tacna,0909,Semillas de anís e hinojo,5257.82,2374.9
019,Tumbes,1804,Manteca de cacao,5053.55,187.0
235,Aérea del Callao,0710,Hortalizas congeladas,4886.37,851.1
235,Aérea del Callao,0907,Clavo de olor,4714.1,828.0
172,Tacna,0713,Legumbres secas,4585.0,44450.0
145,Mollendo Matarani,0902,Té,4536.0,270.7
046,Paita,1806,Chocolate,4389.0,1391.1
118,Marítima del Callao,1201,Soya,4278.47,1876.1
235,Aérea del Callao,1212,Algarroba y otros frutos,4130.2,431.7
172,Tacna,2001,Conservas en vinagre,3264.34,1779.6
118,Marítima del Callao,0907,Clavo de olor,3226.52,298.1
235,Aérea del Callao,0707,Pepino,2740.97,770.9
370,Chancay,1805,Cacao en polvo,2520.0,400.0
235,Aérea del Callao,0807,Melón y sandía,2519.0,385.0
145,Mollendo Matarani,1207,Semillas oleaginosas,2508.0,240.0
172,Tacna,2008,Frutas preparadas,2389.96,9018.3
235,Aérea del Callao,0902,Té,2259.22,325.9
235,Aérea del Callao,1208,Harinas,1958.32,207.4
082,Salaverry,0808,Manzana y pera,1837.62,1224.7
280,Puerto Maldonado,1211,Plantas para perfumería,1700.0,1000.0
172,Tacna,0902,Té,1541.0,573.2
172,Tacna,2009,Jugos de fruta,1360.39,1286.2
235,Aérea del Callao,1204,Linaza,1356.0,175.3
145,Mollendo Matarani,1805,Cacao en polvo,1248.48,74.5
172,Tacna,0903,Mate,1009.34,312.4
046,Paita,1211,Plantas para perfumería,949.39,250.0
019,Tumbes,1212,Algarroba y otros frutos,840.0,840.0
235,Aérea del Callao,0713,Legumbres secas,760.63,293.6
370,Chancay,1804,Manteca de cacao,750.0,100.0
172,Tacna,0706,Zanahoria y remolacha,739.2,7392.0
172,Tacna,0905,Vainilla,738.4,250.6
145,Mollendo Matarani,0813,Frutas secas,672.0,39.3
118,Marítima del Callao,0814,Cortezas de cítricos,533.4,127.0
046,Paita,2101,Extractos de café y té,416.0,54.4
172,Tacna,0906,Canela,363.27,2028.1
235,Aérea del Callao,1214,Forrajes,197.7,30.0
235,Aérea del Callao,1201,Soya,138.96,63.4
235,Aérea del Callao,0808,Manzana y pera,102.72,24.0
235,Aérea del Callao,0701,Papa,80.07,17.4
172,Tacna,1212,Algarroba y otros frutos,67.2,229.0
235,Aérea del Callao,2006,Frutas confitadas,52.24,6.1
235,Aérea del Callao,0809,"Melocotón, cereza y ciruela",10.51,10.0
172,Tacna,1801,Cacao en grano,6.0,2.5
118,Marítima del Callao,1202,Maní,0.94,0.1
